defect_id	ac_id	classification	observation	live_command	authoritative_evidence_path
D1	AC12	SCHEMA_DRIFT	contract canonical id=L07; verifier emits L07_angle_complex	grep -n "OBSERVED_MIGRATION_FIXTURE_SET" evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/*	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-semantic-postmigration.txt:20
D2	AC25	SCHEMA_DRIFT	WITNESS_TOTAL=66 WITNESS_PASS=43 WITNESS_FAIL=3 WITNESS_MISSING=20	./build/lexer09-ac-witness-verify evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c1/c1-ac-witness-contract.tsv /tmp/x.tsv	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/ac-witness-results.tsv
D3	AC33	F_POLYC_TOOLS	substantive 109 LOC shell script > 50 LOC budget	wc -l scripts/quality/lexer09-n02-mutation-runner.sh	scripts/quality/lexer09-n02-mutation-runner.sh
D4	AC39	PATCH_HYGIENE	git diff --check reports trailing blank line in CORRECTION04 C3 evidence	git diff --check cbdc818..0cee203	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-production-authority.txt
D5	HISTORICAL	ARITHMETIC_DEFECT	historical addendum TOTAL_FAIL=5; mechanical fail set cardinality=4 (AC12,AC25,AC33,AC39)	grep -n "TOTAL_FAIL\|fail_set\|AC_LEDGER_FAIL_STATUS" evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04-CORRECTION01/c3/*	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-ac-ledger-pass.txt:29

# KV pairs extracted from defect table for verifier consumption
CORRECTION04_HALT_REPRODUCED=YES
CORRECTION04_CONFIRMED_FAIL_COUNT=4
HISTORICAL_ADDENDUM_TOTAL_FAIL_RECORDED=5
MECHANICAL_CORRECTION04_FAIL_COUNT=4
