token_key	type	producer	consumer	meaning	canonical	legacy_aliases
C0_AUTH_BEFORE_WORK	BOOLEAN	c0-entry-identity.txt	ac-witness-verify	entry-time C0 authorization present	YES	-
WORKTREE_CLEAN_AT_C0	BOOLEAN	c0-entry-identity.txt	ac-witness-verify	worktree clean at C0 entry	YES	-
ACT_BODY_COMPLETE	BOOLEAN	c0-authorization-integrity.txt	ac-witness-verify	ACT body contains complete contract	YES	-
ACT_BODY_PLACEHOLDER_SECTIONS	INTEGER	c0-authorization-integrity.txt	ac-witness-verify	count of placeholder sections in ACT body	YES	-
CORRECTION04_HALT_REPRODUCED	BOOLEAN	c1-correction04-defects.tsv	ac-witness-verify	CORRECTION04 halt reproducibly observed	YES	-
CORRECTION04_CONFIRMED_FAIL_COUNT	INTEGER	c1-correction04-defects.tsv	ac-witness-verify	mechanically confirmed CORRECTION04 fail count	YES	-
CORRECTION04_AC35	BOOLEAN	c1-f14-reverify.txt	ac-witness-verify	CORRECTION04 AC35/F14 still PASS	YES	-
HISTORICAL_ADDENDUM_TOTAL_FAIL_RECORDED	INTEGER	c1-correction04-defects.tsv	ac-witness-verify	historical addendum TOTAL_FAIL value	YES	-
MECHANICAL_CORRECTION04_FAIL_COUNT	INTEGER	c1-correction04-defects.tsv	ac-witness-verify	mechanically confirmed fail set cardinality	YES	-
PRODUCTION_SOURCE_DELTA	INTEGER	c3-production-source-delta.txt	ac-witness-verify	production source SHA delta vs C0 freeze	YES	-
PRODUCTION_AUTHORITY_VERIFY	BOOLEAN	c3-production-authority.txt	ac-witness-verify	production-authority verifier verdict	YES	PASS
POLYC_OUTPUTS_CONSUMED_BY_PRODUCTION	BOOLEAN	c3-production-authority.txt	ac-witness-verify	all 6 PolyC outputs consumed by src/lexer.c	YES	-
SELFHOST_DUPLICATE_TARGET_PARSE	INTEGER	c3-production-authority.txt	ac-witness-verify	legacy duplicate target-parse count in selfhost branch	YES	-
DIRECT_DIFFERENTIAL_FAIL	INTEGER	c3-direct-differential.txt	ac-witness-verify	direct-differential fail count	YES	-
COMPONENT_PAIR_PASS	INTEGER	c3-component-fixedpoint.txt	ac-witness-verify	component fixed-point pair pass count	YES	-
COMPONENT_PAIR_FAIL	INTEGER	c3-component-fixedpoint.txt	ac-witness-verify	component fixed-point pair fail count	YES	-
POST_MIGRATION_PAIR_PASS	INTEGER	c3-semantic-postmigration.txt	ac-witness-verify	post-migration semantic pair pass count	YES	-
