ac_id	witness_id	observed_value	operator	expected_value	result
AC01	w01	YES	EQ	YES	PASS
AC01	w02	YES	EQ	YES	PASS
AC02	w03	YES	EQ	YES	PASS
AC02	w04	0	EQ	0	PASS
AC03	w05	YES	EQ	YES	PASS
AC03	w06	6	EQ	6	PASS
AC04	w07	YES	EQ	YES	PASS
AC05	w08	0	EQ	0	PASS
AC06	w09	YES	EQ	YES	PASS
AC07	w10	0	EQ	0	PASS
AC08	w11	PASS	EQ	PASS	PASS
AC09	w12	0	EQ	0	PASS
AC10	w13	<MISSING>	EQ	6	MISSING
AC10	w14	<MISSING>	EQ	0	MISSING
AC11	w15	3	EQ	3	PASS
AC11	w16	0	EQ	0	PASS
AC12	w17	L07_angle_complex	EQ	L07	FAIL
AC13	w18	0	EQ	0	PASS
AC13	w19	0	EQ	0	PASS
AC14	w20	lib-complex_1co	EQ	lib-complex_1co	PASS
AC14	w21	lib-complex_1.0	EQ	lib-complex_1.0	PASS
AC14	w22	lib-complex_1.0	EQ	lib-complex_1.0	PASS
AC14	w23	lib-complex_1.0	EQ	lib-complex_1.0	PASS
AC15	w24	<MISSING>	EQ	YES	MISSING
AC16	w25	<MISSING>	EQ	0	MISSING
AC16	w26	<MISSING>	EQ	0	MISSING
AC16	w27	<MISSING>	EQ	0	MISSING
AC17	w28	dcb7a478e751a598c161c7c42f8b2a327dace0679ba2fa58b387287cca88c683	MATCH_HEX64	.	PASS
AC17	w29	YES	EQ	YES	PASS
AC17	w30	16a50f69ee520ee448fb384e85b34135c29599ae44ba2052c169382c50954199	MATCH_HEX64	.	PASS
AC18	w31	YES	EQ	YES	PASS
AC18	w32	0	EQ	0	PASS
AC19	w33	YES	EQ	YES	PASS
AC20	w34	YES	EQ	YES	PASS
AC21	w35	<MISSING>	EQ	4	MISSING
AC21	w36	<MISSING>	EQ	0	MISSING
AC22	w37	<MISSING>	EQ	YES	MISSING
AC22	w38	YES	EQ	YES	PASS
AC22	w39	YES	EQ	YES	PASS
AC23	w40	<MISSING>	EQ	PASS	MISSING
AC24	w41	<MISSING>	EQ	0	MISSING
AC25	w42	<MISSING>	EQ	0	MISSING
AC25	w43	<MISSING>	EQ	0	MISSING
AC26	w44	YES	EQ	YES	PASS
AC27	w45	YES	EQ	YES	PASS
AC28	w46	YES	EQ	YES	PASS
AC29	w47	PASS	EQ	PASS	PASS
AC30	w48	PASS	EQ	PASS	PASS
AC31	w49	PASS	EQ	PASS	PASS
AC32	w50	<MISSING>	EQ	0	MISSING
AC32	w51	<MISSING>	EQ	PASS	MISSING
AC32	w52	<MISSING>	EQ	PASS	MISSING
AC33	w53	1	EQ	0	FAIL
AC34	w54	0	EQ	0	PASS
AC34	w55	0	EQ	0	PASS
AC35	w56	0	EQ	0	PASS
AC35	w57	0	EQ	0	PASS
AC36	w58	YES	EQ	YES	PASS
AC37	w59	PASS	EQ	PASS	PASS
AC38	w60	<MISSING>	EQ	PASS	MISSING
AC38	w61	<MISSING>	EQ	0	MISSING
AC39	w62	0	EQ	0	PASS
AC40	w63	<MISSING>	EQ	5	MISSING
AC40	w64	<MISSING>	EQ	YES	MISSING
AC41	w65	<MISSING>	EQ	YES	MISSING
AC42	w66	<MISSING>	EQ	NO	MISSING
