ac_id	mandatory	verdict	evidence_artifact	notes
PREV-AC01	YES	PASS	c3-entry-identity.txt	worktree_clean=YES at C3 entry (HEAD=0cd824f)
PREV-AC02	YES	PASS	c1-red-seam-recipe.txt	captured by C1 RED; selected atomic slice = lexLink/#link
PREV-AC03	YES	PASS	c1-red-seam-recipe.txt	c3-production-seam-negative-subject.txt confirms RED is real
PREV-AC04	YES	PASS	c3-production-seam-pairwise.txt	component-level tests show slice leverage
PREV-AC05	YES	PASS	c3-entry-identity.txt	captured at C3 entry
PREV-AC06	YES	PASS	c3-stage-provenance.tsv	G0..G3 outputs captured with provenance
PREV-AC07	YES	PASS	c3-stage-provenance.tsv	no substitution; all outputs from current ACT
PREV-AC08	YES	PASS	c3-direct-differential.txt	23/23 PASS confirmed
PREV-AC09	YES	PASS	c3-component-fixedpoint.txt	6/6 component fixedpoint pairs YES
PREV-AC10	YES	PASS	c3-component-fixedpoint-negative.txt	RC=1 negative control detected
PREV-AC11	YES	PASS	c3-production-seam-g0..g3.txt	4 stages all captured
PREV-AC12	YES	PASS	c3-production-seam-pairwise.txt	6/6 semantic pairs PASS
PREV-AC13	YES	PASS	c3-production-seam-per-fixture.tsv	per-fixture equivalence recorded
PREV-AC14	YES	PASS	c3-production-seam-negative-subject.txt	defect introduced, semantic-independent verified
PREV-AC15	YES	PASS	c3-polyc-verifier-authority.txt	AUTHORITATIVE_C_FIXEDPOINT_VERIFIER=0 (replaced by PolyC)
PREV-AC16	YES	PASS	c3-polyc-sha-selftest.txt	5/5 NIST vectors PASS
PREV-AC17	YES	PASS	c3-source-identities.tsv	source SHAs captured
PREV-AC18	YES	PASS	c3-generation-identities.tsv	compiler SHAs captured
PREV-AC19	YES	PASS	c3-f14-conservation.txt	CLOSED_EVIDENCE_DELTA=0, CLOSED_HANDOFF_DELTA=0
PREV-AC20	YES	PASS	c3-f-polyc-tools.txt	NEW_SUBSTANTIVE_NON_POLYC_TOOLS=0
PREV-AC21	YES	PASS	c3-f-no-python.txt	NEW_PYTHON_SOURCES=0, NEW_PYTHON_INVOCATIONS=0
PREV-AC22	YES	PASS	c3-factory-gates.txt	factory gates pass
PREV-AC23	YES	PASS	c3-append-only.txt	append-only invariant holds
PREV-AC24	YES	PASS	c3-patch-hygiene.txt	patch hygiene clean
PREV-AC25	YES	PASS	c3-phase-purity.txt	C3 verification only
PREV-AC26	YES	PASS	c3-authorized-ac-replay.tsv	replay SHA matches c1 snapshot (0f99d852...)
PREV-AC27	YES	PASS	c3-lexer01-conservation.txt	47/47 LEXER01 PASS
PREV-AC28	YES	PASS	c3-lexer02-conservation.txt	89/89 LEXER02 PASS
PREV-AC29	YES	PASS	c3-lexer03-conservation.txt	45/45 LEXER03 PASS
PREV-AC30	YES	PASS	c3-broad-corpus.txt	broad corpus regression=0
PREV-AC31	YES	PASS	c3-production-seam-g0..g3.txt	no stale outputs reused; 4 generations fresh
PREV-AC32	YES	PASS	c3-required-result.txt	required-result ledger complete
