ac_id	description	status	evidence_path
AC01	git rev-parse HEAD recorded in c0/c0-entry-identity.txt	PASS	c3-ac01.txt
AC02	make lib-tos fail-closed (superseded per §3.1: a/b/c sub-tests)	PASS	c3-ac02.txt
AC03	make lib-tos provenance-strict (per CORRECTION03 §3.1)	PASS	c3-ac03.txt
AC04	Pristine archive has expected producer identity (per CORRECTION03 §3.5)	PASS	c3-ac04.txt
AC05	AC13..AC18 semantic matrices mechanically exercised	PASS	c3-ac05.txt
AC06	AC13 FREE semantics	PASS	c3-ac05.txt + semantic matrix
AC07	AC14 STRNCMP semantics	PASS	c3-ac05.txt + semantic matrix
AC08	AC15 MEMSET semantics	PASS	c3-ac05.txt + semantic matrix
AC09	AC16 STRLEN_FAST semantics	PASS	c3-ac05.txt + semantic matrix
AC10	AC17 SpawnAndCapture ABI frozen	PASS	c3-ac05.txt + semantic matrix
AC11	AC18 SpawnAndCapture semantics	PASS	c3-ac05.txt + semantic matrix
AC12	N02 negative control isolated	PASS	c3-ac12.txt
AC13	Archive-only consumer link still works	PASS	c3-ac13.txt
AC14	LEXER conservation preserved	PASS	c3-ac14.txt
AC15	Factory gates green (make gate-fast)	PASS	c3-ac15.txt
AC16	Patch hygiene (git diff --check 54f932d HEAD)	PASS	c3-ac16.txt
AC17	F-NO-PYTHON preserved (per CORRECTION03 §3.2)	PASS	c3-ac17.txt
AC18	F-POLYC-TOOLS preserved	PASS	c3-ac18.txt
AC19	F14 closed-evidence surfaces untouched	PASS	c3-ac19.txt
AC20	Worktree clean at C4 (DEFERRED_TO_C4 per CORRECTION03 §3.3)	DEFERRED	c4/c4-ac20.txt
AC21	Append-only history	PASS	c3-ac21.txt
AC22	Commit topology honors C0-before-C1 (DEFERRED_TO_C4 per §3.2)	DEFERRED	c4/c4-ac22.txt
