surface_id	classification_eq_LEGACY_C	production_reachable	semantic_authority	blocks_or_leverages_selfhost	atomic_slice_available	bounded_RED_possible	bounded_oracle_possible	dep_count_lte_threshold	no_arch_rewrite_required	ELIGIBLE	ineligibility_reason
INV.LEXER.IDENT	NO	YES	YES	NO	NO	YES	YES	3	YES	NO	ALREADY_SELFHOSTED
INV.LEXER.OPCLASS	NO	YES	YES	NO	NO	YES	YES	3	YES	NO	ALREADY_SELFHOSTED
INV.LEXER.SCALAR	NO	YES	YES	NO	NO	YES	YES	4	YES	NO	ALREADY_SELFHOSTED
INV.LEXER.TRIVIA	NO	YES	YES	NO	NO	YES	YES	4	YES	NO	ALREADY_SELFHOSTED
INV.LEXER.LINK	NO	YES	YES	NO	NO	YES	YES	6	YES	NO	ALREADY_SELFHOSTED
INV.LEXER.STATE	YES	YES	YES	NO	YES	NO	NO	8	NO	NO	DOES_NOT_BLOCK_SELFHOST (plumbing); NO_BOUNDED_ORACLE (file IO coupling)
INV.LEXER.DISPATCH	YES	YES	YES	YES	NO	NO	NO	20	NO	NO	NO_ATOMIC_SLICE; REQUIRES_MULTI_REGION_REWRITE
INV.PREPROC.PP	YES	YES	YES	YES	NO	YES	NO	15	NO	NO	NO_ATOMIC_SLICE (8 coupled functions via lexPreProcDirective); NO_BOUNDED_ORACLE (no direct differential)
INV.PARSER.TOPLEVEL	YES	YES	YES	YES	YES	YES	NO	5	YES	YES	-
INV.PARSER.COMPOUND	YES	YES	YES	YES	YES	YES	NO	6	YES	YES	-
INV.PARSER.DECL	YES	YES	YES	YES	NO	NO	NO	30	NO	NO	REQUIRES_MULTI_REGION_REWRITE (4 files, 3500 lines); NO_ATOMIC_SLICE
INV.PARSER.STMT	YES	YES	YES	YES	NO	YES	NO	25	NO	NO	NO_ATOMIC_SLICE (coupled to compound body); gated behind PARSER.COMPOUND
INV.PARSER.EXPR	YES	YES	YES	YES	NO	NO	NO	35	NO	NO	REQUIRES_MULTI_REGION_REWRITE (2 files, 2300 lines); NO_ATOMIC_SLICE
INV.LSP	NO (LEGACY_NON_POLYC_AUTHORITY)	YES	NO	NO	NO	NO	NO	3	NO	NO	NOT_PRODUCTION_AUTHORITY
INV.TRANSPILE	NO (LEGACY_NON_POLYC_AUTHORITY)	YES	NO	NO	NO	NO	NO	4	NO	NO	BACKEND_ONLY
INV.MAIN.DRIVER	YES	YES	NO (orchestration)	NO	NO	NO	NO	5	NO	NO	RUNTIME_NOT_COMPILER; DOES_NOT_BLOCK_SELFHOST
INV.JIT.X86	YES	YES (REPL only)	NO	NO	NO	NO	NO	4	NO	NO	NOT_PRODUCTION_AUTHORITY (REPL-only)
INV.MEM.ARENA	YES	YES	NO (plumbing)	NO	NO	NO	NO	3	NO	NO	RUNTIME_NOT_COMPILER; DOES_NOT_BLOCK_SELFHOST
INV.DIAG.PRINT	YES	YES	YES	YES	NO	NO	NO	6	NO	NO	NO_ATOMIC_SLICE (Cctrl-coupled); NO_BOUNDED_ORACLE
INV.UTIL.MISC	YES	YES	NO	NO	NO	NO	NO	2	NO	NO	NOT_PRODUCTION_AUTHORITY (utility header)
INV.LIBTOS	NO (LEGACY_NON_POLYC_AUTHORITY)	YES	NO	NO	NO	NO	NO	8	NO	NO	RUNTIME_NOT_COMPILER
INV.BUILD.ORCH	NO (BUILD_ORCHESTRATION)	YES	NO	NO	NO	NO	NO	5	NO	NO	NOT_PRODUCTION_AUTHORITY
INV.QA.ORCH	NO (QUALITY_TOOLING)	YES	NO	NO	NO	NO	NO	6	NO	NO	NOT_PRODUCTION_AUTHORITY
