ac_id	witness_id	observed_value	operator	expected_value	result
AC01	w01	YES	EQ	YES	PASS
AC01	w02	YES	EQ	YES	PASS
AC02	w03	YES	EQ	YES	PASS
AC02	w04	0	EQ	0	PASS
AC03	w05	YES	EQ	YES	PASS
AC03	w06	4	EQ	4	PASS
AC04	w07	PASS	EQ	PASS	PASS
AC05	w08	5	EQ	5	PASS
AC05	w09	4	EQ	4	PASS
AC06	w10	0	EQ	0	PASS
AC07	w11	PASS	EQ	PASS	PASS
AC08	w12	0	EQ	0	PASS
AC09	w13	6	EQ	6	PASS
AC09	w14	0	EQ	0	PASS
AC10	w15	3	EQ	3	PASS
AC10	w16	0	EQ	0	PASS
AC11	w17	L07	EQ	L07	PASS
AC11	w18	L07	EQ	L07	PASS
AC12	w19	0	EQ	0	PASS
AC12	w20	0	EQ	0	PASS
AC13	w21	YES	EQ	YES	PASS
AC14	w22	0	EQ	0	PASS
AC14	w23	0	EQ	0	PASS
AC15	w24	lib-complex_1co	EQ	lib-complex_1co	PASS
AC15	w25	lib-complex_1.0	EQ	lib-complex_1.0	PASS
AC15	w26	lib-complex_1.0	EQ	lib-complex_1.0	PASS
AC15	w27	lib-complex_1.0	EQ	lib-complex_1.0	PASS
AC16	w28	YES	EQ	YES	PASS
AC17	w29	POLYC	EQ	POLYC	PASS
AC17	w30	YES	EQ	YES	PASS
AC17	w31	YES	EQ	YES	PASS
AC18	w32	0	EQ	0	PASS
AC18	w33	0	EQ	0	PASS
AC18	w34	0	EQ	0	PASS
AC19	w35	YES	EQ	YES	PASS
AC19	w36	YES	EQ	YES	PASS
AC19	w37	YES	EQ	YES	PASS
AC20	w38	YES	EQ	YES	PASS
AC20	w39	0	EQ	0	PASS
AC21	w40	YES	EQ	YES	PASS
AC22	w41	4	EQ	4	PASS
AC22	w42	0	EQ	0	PASS
AC23	w43	YES	EQ	YES	PASS
AC23	w44	YES	EQ	YES	PASS
AC23	w45	YES	EQ	YES	PASS
AC24	w46	0	EQ	0	PASS
AC24	w47	0	EQ	0	PASS
AC24	w48	0	EQ	0	PASS
AC25	w49	0	EQ	0	PASS
AC25	w50	0	EQ	0	PASS
AC26	w51	YES	EQ	YES	PASS
AC27	w52	YES	EQ	YES	PASS
AC28	w53	YES	EQ	YES	PASS
AC29	w54	YES	EQ	YES	PASS
AC30	w55	YES	EQ	YES	PASS
AC31	w56	PASS	EQ	PASS	PASS
AC32	w57	PASS	EQ	PASS	PASS
AC33	w58	PASS	EQ	PASS	PASS
AC34	w59	0	EQ	0	PASS
AC34	w60	PASS	EQ	PASS	PASS
AC34	w61	PASS	EQ	PASS	PASS
AC35	w62	0	EQ	0	PASS
AC36	w63	0	EQ	0	PASS
AC36	w64	0	EQ	0	PASS
AC37	w65	0	EQ	0	PASS
AC37	w66	0	EQ	0	PASS
AC38	w67	YES	EQ	YES	PASS
AC39	w68	PASS	EQ	PASS	PASS
AC40	w69	PASS	EQ	PASS	PASS
AC40	w70	0	EQ	0	PASS
AC41	w71	1	EQ	1	PASS
AC42	w72	3	EQ	3	PASS
AC42	w73	YES	EQ	YES	PASS
AC43	w74	YES	EQ	YES	PASS
AC44	w75	0	EQ	0	PASS

# Aggregate counts for AC25
WITNESS_TOTAL=75
WITNESS_PASS=75
WITNESS_FAIL=0
WITNESS_MISSING=0
