surface_id	subsystem	source_path	symbol_or_region	responsibility	implementation_language	runtime_reachable	compiler_semantics	g0_reachable	g1_reachable	g2_reachable	g3_reachable	polyc_authority	legacy_authority	fallback_present	current_owner	test_surface	fixedpoint_status	classification	evidence
INV.LEXER.TRIVIA	lexer	src/lexer.c	lexSkipCodeComment+lexCore-newline+lexCore-whitespace	Skip whitespace, line comments (//), and block comments (/* */)	POLYC	YES	YES	YES	YES	YES	YES	tools/bootstrap/selfhost-lexer-trivia.HC::BootstrapScanTrivia	src/lexer.c::lexSkipCodeComment	NO	POLYC	tools/quality/lexer08-direct-differential.c; build/lexer08-fixedpoint/	4-gen fixed point PASS	SELFHOSTED_TRUE_GREEN	ACT-POLYC-SELFHOST-LEXER03-CORRECTION02 c2504a2
INV.LEXER.IDENT	lexer	src/lexer.c	lexIdentifier	Scan identifier bytes (start..first-non-ident)	POLYC	YES	YES	YES	YES	YES	YES	tools/bootstrap/bootstrap02-ident.HC::BootstrapScanIdent	src/lexer.c::lexIdentifier	NO	POLYC	tools/quality/lexer07-direct-differential.c; tools/quality/bootstrap02-ident-oracle.c	89/89 differential PASS	SELFHOSTED_TRUE_GREEN	ACT-POLYC-SELFHOST-LEXER02-CORRECTION05
INV.LEXER.SCALAR	lexer	src/lexer.c	lexCharConst+lexNumeric+countNumberLen	Scan character constants and numeric literals (int/float/hex)	POLYC	YES	YES	YES	YES	YES	YES	tools/bootstrap/selfhost-lexer-scalar-literal.HC::BootstrapScanScalarLiteral	src/lexer.c::lexCharConst/lexNumeric/countNumberLen	NO	POLYC	tools/quality/lexer07-direct-differential.c; tools/quality/lexer07-scalar-literal-oracle.c	89/89 differential PASS	SELFHOSTED_TRUE_GREEN	ACT-POLYC-SELFHOST-LEXER02-CORRECTION05
INV.LEXER.OPCLASS	lexer	src/lexer.c	lexClassifyOperator	Classify multi-byte operators (+, +=, <<, etc.)	POLYC	YES	YES	YES	YES	YES	YES	tools/bootstrap/selfhost-lexer-operator-classify.HC::BootstrapClassifyOperator	src/lexer.c::lexClassifyOperator	NO	POLYC	tools/quality/bootstrap06-direct-differential.c; tools/quality/bootstrap06-classify-probe.HC; tools/quality/bootstrap06-operator-classify-oracle.c	production seam 4 stages PASS	SELFHOSTED_TRUE_GREEN	ACT-POLYC-SELFHOST-LEXER02-CORRECTION05 / ACT-POLYC-TOOLING-MIGRATE-GEP01
INV.LEXER.LINK	lexer	src/lexer.c	lexLink+lexPushFile+lexPushString+lexInit+lexSetBuiltinRoot+lexPreProcIf+lexPreProcBoolean+lexInclude+lexUndef+lexSetAsmFlags+lexUnSetAsmFlags+lexReleaseAllFiles+lexNextChar+lexRewindChar+lexPeek+lexPeekMatch+lexCore+lexReleaseLexFile	Token-linker / file-push / preprocessor directive dispatch / state setup	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	entire legacy src/lexer.c minus the 4-5 delegated functions	NO (build-time only)	LEGACY_C	inv-LEXER-LINK-NON-POLYC in c1-authority-residue.tsv	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.LEXER.LINK
INV.PARSER.TOPLEVEL	parser	src/parser.c	parseToAst+parseToplevelDef	Parse top-level definitions (functions, globals, classes, externs, asmbindings) into Ast nodes	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	src/parser.c::parseToAst/parseToplevelDef + the dispatch chain	NO (build-time only)	LEGACY_C	none atomic	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.PARSER.TOPLEVEL
INV.PARSER.COMPOUND	parser	src/parser.c	parseCompoundStatementInternal	Parse compound statement body inside a function	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	src/parser.c::parseCompoundStatementInternal	NO (build-time only)	LEGACY_C	none atomic	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.PARSER.COMPOUND
INV.PARSER.SUBSCRIPTS	parser	src/prslib.c	parseSubscriptExpr+parseArrayDimensionsInternal+parseAssignAuto+~30 other prslib helpers	Parse subscript expressions, array dimensions, initalisers, member access, comma/binop/unary	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	src/prslib.c (~1797 LOC) + src/prsutil.c (~547 LOC) + src/prsasm.c (~261 LOC)	NO (build-time only)	LEGACY_C	none atomic	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.PARSER.SUBSCRIPTS
INV.AST.CREATE	ast	src/ast.c	astBinOpFromToken+astUnaryOpFromToken+astResetLVarId+~70 other ast* helpers	AST node creation, binop/unop classification, type metadata, debugging	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	src/ast.c (~2730 LOC)	NO (build-time only)	LEGACY_C	none atomic	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.AST.CREATE
INV.CCTRL.SCOPE	semantic	src/cctrl.c	cctrlAddDefine+cctrlInitParse+cctrlInitMacroProcessor+cctrlRegisterFile+cctrlFileAndLine+cctrlGetErrorIdx+cctrlCreateColoredLine+cctrlDiagPush/Flush/Clear+cctrlSyncToplevel+cctrlAddBuiltinFunctions+~30 other cctrl* helpers	Symbol table, scope tracking, builtin registration, diagnostic emission, error recovery, source positions	LEGACY_C	YES	YES	YES	YES	YES	YES	NONE	src/cctrl.c (~1329 LOC)	NO (build-time only)	LEGACY_C	none atomic	NOT_APPLICABLE	LEGACY_C_AUTHORITY	c1-authority-residue.tsv row INV.CCTRL.SCOPE
