surface_id	subsystem	responsibility	authoritative_path	authoritative_symbol	language	why_not_selfhosted	fallback	stage_dependency	callers	estimated_surface_size	existing_tests	candidate_for_next	evidence
INV.LEXER.LINK	lexer	Token-linker / file-push / preprocessor directive dispatch / state setup	src/lexer.c	lexLink+lexCore+lexPushFile+lexInit+lexSetBuiltinRoot+lexReleaseAllFiles+lexNextChar+lexRewindChar+lexPeek+lexPeekMatch+lexReleaseLexFile	LEGACY_C	Pre-existing legacy-C glue around the 4 migrated scanner components; not yet a bounded migration target	NO (build-time only)	G0/G1/G2/G3	parseToAst (parser.c), cctrlInitParse (cctrl.c)	~1200 LOC in src/lexer.c minus the 4-5 delegated functions	lexer-direct-differential corpus	YES (atomic candidate)	selfhost-surface-inventory.tsv row INV.LEXER.LINK
INV.PREPROC.PP	preprocessor	Preprocessor directive parser (#if, #ifdef, #include, #undef, #asm)	src/lexer.c	lexPreProcIf+lexPreProcBoolean+lexInclude+lexUndef+lexSetAsmFlags+lexUnSetAsmFlags	LEGACY_C	Preprocessor directive parser is interleaved with lexCore; would need careful slice	NO (build-time only)	G0/G1/G2/G3	lexLink (lexer.c)	~350 LOC (preprocessor directive blocks inside lexCore)	lexer-direct-differential corpus	YES (coupled to lexCore; ranked separately)	selfhost-surface-inventory.tsv row INV.PREPROC.PP
INV.PARSER.TOPLEVEL	parser	Parse top-level definitions (functions, globals, classes, externs, asmbindings)	src/parser.c	parseToAst+parseToplevelDef	LEGACY_C	Parser is a 2910-LOC monolith; top-level dispatch is structurally entangled with parseCompoundStatementInternal	NO (build-time only)	G0/G1/G2/G3	compileToAst (compile.c)	~460 LOC (parseToAst + parseToplevelDef)	parser-corpus-test (none atomic currently)	YES (but coupled to compound stmt)	selfhost-surface-inventory.tsv row INV.PARSER.TOPLEVEL
INV.PARSER.COMPOUND	parser	Parse compound statement body inside a function	src/parser.c	parseCompoundStatementInternal	LEGACY_C	Massive statement dispatcher; depends on cctrl state; cannot be migrated independently	NO (build-time only)	G0/G1/G2/G3	parseToplevelDef (parser.c)	~1100 LOC (parseCompoundStatementInternal body)	parser-corpus-test	NO (cross-cutting: requires cctrl state migration)	selfhost-surface-inventory.tsv row INV.PARSER.COMPOUND
INV.PARSER.SUBSCRIPTS	parser	Subscript expressions, array dims, initalisers, member access, comma/binop/unary	src/prslib.c+src/prsutil.c+src/prsasm.c	parseSubscriptExpr+parseArrayDimensionsInternal+parseAssignAuto+~30 other prslib helpers	LEGACY_C	Large helper graph inside the parser; deeply entangled with cctrl/ast	NO (build-time only)	G0/G1/G2/G3	parseCompoundStatementInternal (parser.c)	~2600 LOC (prslib+prsutil+prsasm)	parser-corpus-test	NO (cross-cutting)	selfhost-surface-inventory.tsv row INV.PARSER.SUBSCRIPTS
INV.AST.CREATE	ast	AST node creation, binop/unop classification, type metadata, debugging	src/ast.c	astBinOpFromToken+astUnaryOpFromToken+astResetLVarId+~70 other ast* helpers	LEGACY_C	Pure data-structure plumbing; large but mostly declarative; no semantic equivalence boundary at function level	NO (build-time only)	G0/G1/G2/G3	parser.c (parser helpers), cctrl.c (cctrl helpers)	~2730 LOC (entire ast.c)	ast-create-corpus	NO (cross-cutting: AST is used by parser, cctrl, ir, transpiler)	selfhost-surface-inventory.tsv row INV.AST.CREATE
INV.CCTRL.SCOPE	semantic	Symbol table, scope tracking, builtin registration, diagnostics, source positions	src/cctrl.c	cctrlAddDefine+cctrlInitParse+cctrlInitMacroProcessor+cctrlRegisterFile+cctrlFileAndLine+cctrlGetErrorIdx+cctrlCreateColoredLine+cctrlDiagPush/Flush/Clear+cctrlSyncToplevel+cctrlAddBuiltinFunctions+~30 other cctrl* helpers	LEGACY_C	Symbol-table/builtin/diagnostic monolith; tightly coupled to parser	NO (build-time only)	G0/G1/G2/G3	parser.c (cctrlTokenRewind/cctrlRaiseException/etc.), main.c	~1329 LOC (entire cctrl.c)	cctrl-corpus-test	NO (cross-cutting: depends on parser)	selfhost-surface-inventory.tsv row INV.CCTRL.SCOPE
INV.IR.LOWER	ir	Lower AST to intermediate representation (per-construct lowering)	src/ir.c	irLowerAst+irLowerReturn+irLowerTry+irLowerThrow+irLowerIf+irLowerForLoop+irLowerWhileLoop+irLowerDoWhileLoop+irLowerDecl+irLowerGoto+irLowerLabel+irLowerSwitch	LEGACY_C	Per-construct lowering; structurally entangled with AST and codegen	NO (build-time only)	G0/G1/G2/G3	compileToAsm (compile.c) via asmGenerate	~1200 LOC (irLower* family)	ir-corpus-test	NO (cross-cutting: depends on ast, feeds codegen)	selfhost-surface-inventory.tsv row INV.IR.LOWER
INV.IR.CGFUN	ir-codegen	IR finalisation and ABI param location assignment	src/ir.c	irFunctionPrepForCodeGen+irCgFinishFunction+irAssignAbiParamLocations+irDump+irDumpWithFakePool	LEGACY_C	Couples to AST and ABI; not bounded	NO (build-time only)	G0/G1/G2/G3	x86_64GenerateFunction/aarch64Generate*	~200 LOC	ir-corpus-test	NO (cross-cutting)	selfhost-surface-inventory.tsv row INV.IR.CGFUN
INV.CODEGEN.X86	x86_64-codegen	Native x86_64 backend	src/x86_64.c	x86_64GenerateFunction+x86_64PasteDataSection+x86_64InitialiseEmptyGlobal+x86_64GlobalVar	LEGACY_C	Native backend; deliberately kept as the differential/reference backend per CHARTER	NO (build-time only)	G0/G1/G2/G3	compileToAsm	~2700 LOC (src/x86_64.c)	small-native-corpus-differential	NO (CHARTER-preserved reference backend)	selfhost-surface-inventory.tsv row INV.CODEGEN.X86
