ac_id	description	mandatory	status	evidence_path
AC01	authorized clean entry	YES	PASS	../c0/c0-entry-identity.txt
AC02	missing-symbol RED reproduced	YES	PASS	c1-archive-only-link-red.txt
AC03	archive-only consumer RED reproduced	YES	PASS	c1-archive-only-link-red.txt
AC04	every missing symbol classified	YES	PASS	c1-root-cause-classification.tsv
AC05	fresh build blocker classified	YES	PASS	c1-fresh-build-red.txt
AC06	FREE definition reachable	YES	PASS	c3-required-symbols.tsv; c3-archive-only-link.txt
AC07	STRNCMP definition reachable	YES	PASS	c3-required-symbols.tsv; c3-archive-only-link.txt
AC08	SpawnAndCapture definition reachable	YES	PASS	c3-required-symbols.tsv; c3-archive-only-link.txt
AC09	MEMSET definition reachable	YES	PASS	c3-required-symbols.tsv; c3-archive-only-link.txt
AC10	STRLEN_FAST definition reachable	YES	PASS	c3-required-symbols.tsv; c3-archive-only-link.txt
AC11	fresh canonical archive	YES	PASS	c3-fresh-libtos-build.txt
AC12	no duplicate required symbols	YES	PASS	c3-required-symbols.tsv (strong_definition_count=1 for each)
AC13	FREE semantics	YES	PASS	c3-free-semantics.txt
AC14	STRNCMP semantics	YES	PASS	c3-strncmp-semantics.txt
AC15	MEMSET semantics	YES	PASS	c3-memset-semantics.txt
AC16	STRLEN_FAST semantics	YES	PASS	c3-strlen-fast-semantics.txt
AC17	SpawnAndCapture ABI frozen	YES	PASS	../c1/c1-spawn-and-capture-contract.txt
AC18	SpawnAndCapture semantics	YES	PASS	c3-spawn-and-capture-semantics.txt
AC19	archive-only verifier link	YES	PASS	c3-archive-only-link.txt
AC20	verifier execution	YES	PASS	c3-verifier-execution.txt
AC21	fallback eliminated	YES	PASS	c3-no-all-s-fallback.txt
AC22	archive load-bearing negative control (N01)	YES	PASS	c3-negative-remove-member.txt
AC23	symbol availability negative control (N02)	YES	PASS	c3-negative-symbol-unavailable.txt
AC24	no-fallback negative control (N03)	YES	PASS	c3-negative-no-fallback.txt
AC25	fresh rebuild reproducibility	YES	PASS	c3-rebuild-reproducibility.txt
AC26	LEXER conservation	YES	PASS	c3-lexer-conservation.txt
AC27	LEXER04 blocker resolved	YES	PASS	c3-lexer04-blocker-resolution.txt
AC28	no LEXER04 closure overclaim	YES	PASS	(c3-lexer04-blocker-resolution.txt establishes LEXER04_LIBTOS_BLOCKER_RESOLVED=YES only; LEXER04_CORRECTION02 CLOSED is NOT claimed)
AC29	F-NO-PYTHON	YES	PASS	c3-f-no-python.txt
AC30	F-POLYC-TOOLS	YES	PASS	c3-f-polyc-tools.txt
AC31	F14	YES	PASS	c3-f14-conservation.txt
AC32	Factory gates	YES	PASS	c3-factory-gates.txt
AC33	prospective patch hygiene	YES	PASS	c3-patch-hygiene.txt
AC34	worktree clean	YES	PASS	(c3-entry-identity.txt; only build outputs regenerated; tracked tree is clean)
AC35	append-only history	YES	PASS	c3-factory-gates.txt (factory-append-only-test PASS)
