surface_id	region	description	primary_source	entry_symbol	classification	production_reachable	semantic_authority	polyC_component	bridge_symbol	legacy_duplicate	current_test_surface	current_proof_surface	blocks_next_selfhost_stage	atomic_slice_available	estimated_source_span	dependency_count	coupling_count	existing_oracle	existing_fixture_set	known_residue	notes
INV.LEXER.IDENT	lexer	Identifier byte scan (start..first-non-ident)	src/lexer.c	lexIdentifier	SELFHOSTED_TRUE_GREEN	YES	YES	tools/bootstrap/bootstrap02-ident.HC	BootstrapScanIdent (ABI1)	src/lexer.c (under #else)	tools/quality/lexer07-direct-differential.c; bootstrap02-cursor-test	bootstrap02-lexer-seam-test	NO (already selfhosted)	NO (already migrated)	~40 lines under #ifdef in lexIdentifier	3	src_buffer + flags + return end_off	lexer07-oracle	c01/c02/c03 fixtures	N/A	LEXER01/BOOTSTRAP02 closed PASS_TRUE_GREEN
INV.LEXER.OPCLASS	lexer	Multi-byte operator classification (+ <<= etc.)	src/lexer.c	lexClassifyOperator	SELFHOSTED_TRUE_GREEN	YES	YES	tools/bootstrap/selfhost-lexer-operator-classify.HC	BootstrapClassifyOperator (ABI2)	src/lexer.c (under #else)	tools/quality/bootstrap06-direct-differential.c; bootstrap06-classify-probe.HC	bootstrap06-lexer-seam-stage1	NO (already selfhosted)	NO (already migrated)	~190 lines under #ifdef in lexClassifyOperator	3	src_buffer + flags + out_kind + out_length	bootstrap06-operator-classify-oracle	bootstrap06 fixtures	N/A	LEXER01 closed PASS_TRUE_GREEN
INV.LEXER.SCALAR	lexer	Scalar literal scan (numeric + char const)	src/lexer.c	lexNumeric + lexCharConst	SELFHOSTED_TRUE_GREEN	YES	YES	tools/bootstrap/selfhost-lexer-scalar-literal.HC	BootstrapScanScalarLiteral (ABI3)	src/lexer.c (under #else)	tools/quality/lexer07-direct-differential.c	lexer07-lexer-seam-stage0..3	NO (already selfhosted)	NO (already migrated)	~205 lines under #ifdef across lexCharConst + lexNumeric	4	src_buffer + flags + out_* (kind/i64/f64_bits/ishex/error/strlen)	lexer07-scalar-literal-oracle	lexer07 fixtures	N/A	LEXER02 closed PASS_TRUE_GREEN
INV.LEXER.TRIVIA	lexer	Trivia scan (whitespace + line/block comments)	src/lexer.c	lexSkipCodeComment + lexCore whitespace	SELFHOSTED_TRUE_GREEN	YES	YES	tools/bootstrap/selfhost-lexer-trivia.HC	BootstrapScanTrivia (ABI4)	src/lexer.c (under #else)	tools/quality/lexer08-direct-differential.c	lexer08-trivia-fixedpoint	NO (already selfhosted)	NO (already migrated)	~150 lines under #ifdef in lexSkipCodeComment + lexCore whitespace branches	4	src_buffer + flags + out_* (end/kind/lineno_delta/comment_started)	lexer08-trivia-oracle	lexer08 fixtures	N/A	LEXER03 closed PASS_TRUE_GREEN
INV.LEXER.LINK	lexer	#link directive body scan (quoted path / angle name)	src/lexer.c	lexLink	SELFHOSTED_TRUE_GREEN	YES	YES	tools/bootstrap/selfhost-lexer-link.HC	BootstrapLinkDirective (ABI6)	src/lexer.c (under #else, lines ~2007..2236)	tools/quality/lexer09-direct-differential.c	lexer09-fixedpoint-4stage	NO (already selfhosted)	NO (already migrated)	~230 lines under #ifdef in lexLink	6	src_buffer + out_target_bytes + out_* (consumed/is_path/stored_len/error)	lexer09-link-oracle	lexer09 fixtures (15 fixtures, 9 classes)	N/A	LEXER04 closed PASS_TRUE_GREEN (CORRECTION07)
INV.LEXER.STATE	lexer	Lexer state setup/teardown/file-push/character stream	src/lexer.c	lexInit + lexPushFile + lexPushString + lexNextChar + lexRewindChar + lexPeek + lexPeekMatch + lexerRelease + lexReleaseAllFiles	LEGACY_C_AUTHORITY	YES	YES	NONE	N/A	N/A	N/A	N/A	NO (plumbing)	YES (state setup is one cohesive region; lexLink file-push coupling makes a single-function extraction tight)	~330 lines	8	io_file + flags + macro_proccessor + lexeme_arena + lex_file_stack	N/A	N/A	plumbing; couples file I/O + state init + asm-flag side effects	not on next-migration list; bounded by file-stack and state coupling
INV.LEXER.DISPATCH	lexer	Token-dispatch loop + # directive routing	src/lexer.c	lexCore + lex + lexToken + lexPreProcDirective	LEGACY_C_AUTHORITY	YES	YES	NONE	N/A	N/A	N/A	N/A	YES (BLOCKS_NEXT_SELFHOST_STAGE for any non-#link directive migration because the dispatcher routes lexPreProcDirective -> lexInclude/lexDefine/lexUndef/lexPreProcIf/lexPreProcBoolean/lexLink/lexSetAsmFlags/lexUnSetAsmFlags)	NO (large; would require migrating the entire token loop)	~540 lines	20+	macro_defs + lex_file_stack + lexeme_arena + flags + every other lexer surface	N/A	N/A	large; cannot be atomically migrated without rewriting the whole token loop	not eligible for atomic next migration
INV.PREPROC.PP	preprocessor	# directive parser (if/elif/include/define/undef/asm flags)	src/lexer.c	lexPreProcDirective + lexInclude + lexDefine + lexUndef + lexPreProcIf + lexPreProcBoolean + lexSetAsmFlags + lexUnSetAsmFlags	LEGACY_C_AUTHORITY	YES	YES	NONE	N/A	N/A	N/A	N/A	YES (BLOCKS_NEXT_SELFHOST_STAGE because every subsequent parser migration must consult preprocessor state — and the preprocessor owns macro_defs, lex_file_stack side effects, and #asm flag mutations that downstream parsers/consumers read)	NO (the dispatcher `lexPreProcDirective` selects among them and routes through it; a single-function extraction is impossible without either (a) splitting `lexPreProcDirective` or (b) migrating the dispatcher along with one directive — both blow atomicity)	~660 lines across 8 functions	15+	macro_defs + flags + lex_file_stack + lexeme_arena + state.N/A	N/A	N/A	dispatcher coupling; not eligible for atomic next migration without rewriting dispatcher
INV.PARSER.TOPLEVEL	parser	Top-level definition parsing loop + parser entry	src/parser.c	parseToplevelDef + parseToAst	LEGACY_C_AUTHORITY	YES	YES	NONE	N/A	N/A	N/A	N/A	YES (BLOCKS_NEXT_SELFHOST_STAGE because parser.toplevel is the entry point that downstream consumers must continue to call; parser-type, parser-decl, parser-statement, parser-expression all depend on its contract — migrating it first unblocks the rest)	YES (parseToplevelDef is a tight dispatch loop; the inner branches call into parseFunctionOrDef/parseClassDef/parseUnionDef/parseAsmFunctionBinding which are independently defined; a single-function atomic slice is achievable by replacing just the top-level loop with a PolyC subject that dispatches to the legacy C inner branches)	~150 lines (parseToplevelDef body)	5	Cctrl *cc + token loop	none (no production differential for parser exists yet)	N/A	large but bounded	strong candidate for next migration IF atomic slice can be made; high R1 leverage
INV.PARSER.COMPOUND	parser	Compound statement body parsing	src/parser.c	parseCompoundStatementInternal + parseCompoundStatement	LEGACY_C_AUTHORITY	YES	YES	NONE	N/A	N/A	N/A	N/A	YES (UNLOCKS_MULTIPLE_FOLLOWING_SURFACES — every statement, every control-flow construct eventually calls into compound; migrating compound body first unblocks statement-level migrations and expression migrations downstream)	YES (parseCompoundStatementInternal is a single function with a tight cursor loop; ~260 lines; entry symbol clear; behavior observable through resulting Ast)	~260 lines	6	Cctrl *cc + body Ast + token loop	none (no production differential for parser exists yet)	N/A	coupled to parseStatement dispatch but the slice itself is bounded	strong candidate; the smallest parser-region atomic slice is parseCompoundStatementInternal — same shape as LEXER04's lexLink
INV.PARSER.DECL	parser	Declaration parsing family (function/class/union/extern/asm/variable/typedef)	src/parser.c + src/prslib.c + src/prsutil.c + src/prsasm.c	parseDecl + parseDeclInternal + parseClassDef + parseUnionDef + parseFunctionDef + parseExternFunctionProto + parseFunctionOrDef + parseAsmFunctionBinding + parseVariableAssignment + parseVariableInitialiser + parseDeclArrayInitInt + parseBaseDeclSpec + parseDeclSpec + parseFullType + parseParams + parseFunctionPointerType + parseFunctionPointer + parseClassOrUnion + parseClassOrUnionFields + parseClassOffsets + parseUnionOffsets + parseTypeCheckClassFieldInitaliser + parseFoldInitElement + parseRegModifier + ClsFieldNew + CalcUnionSize + CalcClassSize + CalcPadding + parseFlattenAnnonymous + parseDefaultFunctionParam + parseFlattenDefaultArgs + parsePromoteVarargFloats + parseCoerceArgs + parseFunctionArgumentCheck + findFunctionDecl + parseGetFunctionParams + parseArgv + parseInlineFunctionCall + parseFunctionArguments + parseIdentifierOrFunction + parseFunctionCallInternal + parseCountPrintfFormatSpecs + parseFormatArgIdx + parsePeekArgAt + parsePrintfFormatCheck + prsAsm + prsAsmTasmArch + prsAsmCreateErrorLineAt + prsAsmDiagSink	LEGACY_C_AUTHORITY	YES	YES	NONE	N/A	N/A	N/A	N/A	YES (UNLOCKS_MULTIPLE_FOLLOWING_SURFACES — declarations are how the parser's symbol table is populated; migrating any one declaration type touches the symbol-table pathway)	NO (this is a multi-region rewrite spanning four files with deeply shared mutable Cctrl state; no single bounded slice exists)	~3500 lines	30+	Cctrl + Ast + AstType + Map + List + Vec + every parser helper	none	N/A	N/A	huge region; not eligible for atomic next migration	cannot be reduced to one bounded slice
INV.PARSER.STMT	parser	Statement parsing family (if/for/while/switch/try/throw/return)	src/parser.c	parseStatement + parseIfStatement + parseForStatement + parseWhileStatement + parseDoWhileStatement + parseBreakStatement + parseContinueStatement + parseReturnStatement + parseTryStatement + parseThrowStatement + parseSwitchStatement + parseCaseLabel + parseDefaultStatement + parseIfClause + parseForLoopInitialiser + parseRangeLoop + parseCreateForRange + parseDesugarArrayLoop + parseOptDeclOrStmt + parseOptExpr + parseAssertContainerHasFields + parseValidPostControlFlowToken + parseRaiseCaseException + createFunctionLevelGotoLabel	LEGACY_C_AUTHORITY	YES	YES	NONE	N/A	N/A	N/A	N/A	YES (UNLOCKS_MULTIPLE_FOLLOWING_SURFACES — every compound body invokes statement dispatch)	NO (coupled to parseCompoundStatement; cannot be isolated from compound body migration)	~920 lines	25+	Cctrl + Ast + token loop	none	N/A	N/A	large; not atomic without compound first	gated behind compound-statement migration
