AC_ID	STATUS	NOTES
AC01	PASS	ENTRY_HEAD=9ea5bc4a5919c5a37fc0be8f4f2a57dea7e41b94
AC02	PASS	BRANCH=main
AC03	PASS	WORKTREE_CLEAN_AT_C0=YES (tracked)
AC04	PASS	C0_AUTH_BEFORE_REPAIR=YES
AC05	PASS	D1_F14_RED_REPRODUCED=YES (c1-red-f14.txt)
AC06	PASS	D2_RANGE_CHECK_RED_REPRODUCED=YES (c1-red-range-check.txt)
AC07	PASS	D3_SIX_COMMIT_RED_REPRODUCED=YES (c1-red-topology.txt)
AC08	PASS	D4_POST_C4_MODEL_RED_REPRODUCED=YES (c1-red-post-c4-model.txt)
AC09	PASS	RESTORED_CORRECTION02_C2_BLOB_MATCH=YES (c2-f14-restoration.txt)
AC10	PASS	CORRECTION02_CLOSED_EVIDENCE_DELTA=0 (c3-f14.txt)
AC11	PASS	CORRECTION02_CLOSED_HANDOFF_DELTA=0 (c3-f14.txt)
AC12	PASS	PROSPECTIVE_LEXER07_BASELINE_SHA256_UNCHANGED=YES (c3-baseline-authority-conservation.txt)
AC13	PASS	PRODUCER_SOURCE_SHA256_UNCHANGED=YES
AC14	PASS	PRODUCER_BINARY_SHA256_UNCHANGED=YES
AC15	PASS	ALL_4_COMPILER_SHA256_UNCHANGED=YES
AC16	PASS	INPUT_SHA256_UNCHANGED=YES
AC17	PASS	WRAPPER_SHA256_UNCHANGED=YES
AC18	PASS	COMMAND_SHA256_UNCHANGED=YES
AC19	PASS	OUTPUT_SHAS_UNCHANGED=YES
AC20	PASS	COUNTER_SHA256_UNCHANGED=YES
AC21	PASS	BOOTSTRAP_CALC_PADDING_DELTA=0 (c3-subject-conservation.txt)
AC22	PASS	ALGEBRAIC_VERIFIER_DELTA=0
AC23	PASS	GENERATION_PROVENANCE_VERIFIER_DELTA=0
AC24	PASS	ORACLE_IMPL_DELTA=0
AC25	PASS	SRC_PARSER_DELTA=0
AC26	PASS	PATCH_HYGIENE_ERRORS=0 (CORRECTION04-introduced); 1 restored historical defect intentionally present per Lock B (c3-patch-hygiene.txt)
AC27	PASS	GATE_FAST=PASS (c3-factory-gates.txt)
AC28	PASS	APPEND_ONLY_FAIL=0
AC29	PASS	F14=PASS (c3-f14.txt)
AC30	PASS	C0_HAS_NO_SUPERSESSION_TRAILERS=YES (c3-range-check-contract.txt)
AC31	PASS	C1_HAS_NO_SUPERSESSION_TRAILERS=YES
AC32	PASS	C2_HAS_NO_SUPERSESSION_TRAILERS=YES
AC33	PASS	C3_HAS_NO_SUPERSESSION_TRAILERS=YES (by C3 commit construction)
AC34	PASS	C4_TRAILER_SCHEMA_FROZEN_FROM_LIVE_VALIDATOR=YES (c1-range-check-contract.txt)
AC35	PASS	PRE_C4_COMMIT_COUNT=4 (c3-pre-c4-tip.txt)
AC36	DEFERRED_TO_C4	C4_IS_DIRECT_CHILD_OF_PRE_C4_TIP=YES -- to be asserted at C4 commit time + external gate
AC37	DEFERRED_TO_C4	CORRECTION04_RANGE_COMMIT_COUNT=5 -- observed by external terminality gate
AC38	DEFERRED_TO_EXTERNAL	FACTORY_V2_RANGE_CHECK=PASS -- external terminality gate
AC39	DEFERRED_TO_EXTERNAL	EXTERNAL_TERMINALITY_GATE=PASS -- external terminality gate
AC40	DEFERRED_TO_EXTERNAL	WORKTREE_CLEAN_AFTER_C4=YES -- external terminality gate
