ac_id	description	mandatory	status	evidence_path
AC01	authorized clean entry	YES	PASS	../c0/c0-entry-identity.txt
AC02	fail-open RED reproduced	YES	PASS	c1/c1-red1-fail-open.txt
AC03	clean-checkout RED reproduced	YES	PASS	c1/c1-red2-clean-checkout.txt
AC04	N02 confound RED reproduced	YES	PASS	c1/c1-red3-n02-confound.txt
AC05	semantic matrices RED reproduced	YES	PASS	c1/c1-red4-semantic-matrices.txt
AC06	FREE semantics (NULL no-op + allocated)	YES	PASS	c3-semantic-matrices.txt (AC06_FREE_NULL_NOOP, AC06_FREE_ALLOCATED_STORAGE)
AC07	STRNCMP semantics (5 cases)	YES	PASS	c3-semantic-matrices.txt (AC07_STRNCMP_*)
AC08	MEMSET semantics (5 cases)	YES	PASS	c3-semantic-matrices.txt (AC08_MEMSET_*)
AC09	STRLEN_FAST semantics (3 cases)	YES	PASS	c3-semantic-matrices.txt (AC09_STRLEN_*)
AC10	SpawnAndCapture ABI frozen	YES	PASS	../c1/c1-spawn-and-capture-contract.txt
AC11	SpawnAndCapture semantics (6 cases)	YES	PASS	c3-semantic-matrices.txt (AC11_SAC_*)
AC12	fresh canonical archive produced	YES	PASS	c3-fresh-archive.txt
AC13	5 required symbols present with strong_definition_count=1	YES	PASS	c3-required-symbols.tsv
AC14	make lib-tos is fail-closed (RED-1 closed)	YES	PASS	c3-fail-closed.txt
AC15	clean-checkout buildability (RED-2 closed)	YES	PASS	c3-clean-checkout.txt
AC16	archive-only consumer link works (canonical test)	YES	PASS	c3-fresh-archive.txt (build via runtime-contract-test)
AC17	LEXER conservation preserved	YES	PASS	c3-lexer-conservation.txt
AC18	Factory gates green	YES	PASS	c3-factory-gates.txt
AC19	prospective patch hygiene	YES	PASS	c3-patch-hygiene.txt
AC20	F-NO-PYTHON preserved	YES	PASS	c3-f-no-python.txt
AC21	F-POLYC-TOOLS preserved	YES	PASS	c3-f-polyc-tools.txt
AC22	F14 closed-evidence surfaces untouched	YES	PASS	c3-f14-conservation.txt
