ac_id	witness_id	expected_key	expected_operator	expected_value	evidence_path	observed_key	classification	repair_owner
AC10	w13	COMPONENT_PAIR_PASS	EQ	6	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-component-fixedpoint.txt	(none)	MISSING_TOKEN	c2-impl
AC10	w14	COMPONENT_PAIR_FAIL	EQ	0	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-component-fixedpoint.txt	(none)	MISSING_TOKEN	c2-impl
AC12	w17	OBSERVED_MIGRATION_FIXTURE_SET	EQ	L07	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-postmigration.txt	L07_angle_complex	TOKEN_NAME_DRIFT	c2-impl
AC15	w24	SEMANTIC_OUTPUT_MUTATION_DETECTED	EQ	YES	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n01-output-mutation.txt	(none)	MISSING_TOKEN	c2-impl
AC16	w25	MUTATED_COMPONENT_BUILD_RC	EQ	0	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	(none)	TOKEN_NAME_DRIFT	c2-impl
AC16	w26	MUTATED_SEAM_LINK_RC	EQ	0	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	(none)	TOKEN_NAME_DRIFT	c2-impl
AC16	w27	MUTATED_SEAM_RUN_RC	EQ	0	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	(none)	TOKEN_NAME_DRIFT	c2-impl
AC21	w35	PROVENANCE_ROW_PASS	EQ	4	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-generation-provenance.tsv	(none)	MISSING_TOKEN	c2-impl
AC21	w36	PROVENANCE_ROW_FAIL	EQ	0	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-generation-provenance.tsv	(none)	MISSING_TOKEN	c2-impl
AC22	w37	GENERATION_COPY_CONTROL_EXECUTED	EQ	YES	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-generation-copy-control.txt	(none)	MISSING_TOKEN	c2-impl
AC23	w40	AC_IDENTITY_BINDING	EQ	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/mandatory-ac-status.tsv	(none)	MISSING_TOKEN	c2-impl
AC24	w41	EVIDENCE_SHA_MISMATCH	EQ	0	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/mandatory-ac-status.tsv	(none)	MISSING_TOKEN	c2-impl
AC25	w42	WITNESS_FAIL	EQ	0	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-ac-witness-results.tsv	(none)	MISSING_TOKEN	c2-impl
AC25	w43	WITNESS_MISSING	EQ	0	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-ac-witness-results.tsv	(none)	MISSING_TOKEN	c2-impl
AC32	w50	LEXER07_NEW_FAILURES	EQ	0	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-broad-corpus-delta.txt	(none)	MISSING_TOKEN	c2-impl
AC32	w51	LEXER08_BROAD_CORPUS	EQ	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-broad-corpus-delta.txt	(none)	MISSING_TOKEN	c2-impl
AC32	w52	LEXER09_BROAD_CORPUS	EQ	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-broad-corpus-delta.txt	(none)	MISSING_TOKEN	c2-impl
AC33	w53	NEW_SUBSTANTIVE_NON_POLYC_TOOLS	EQ	0	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-f-polyc-tools.txt	1	REAL_PREDICATE_FAIL	c2-impl
AC38	w60	GATE_FAST	EQ	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-factory-gates.txt	(none)	MISSING_TOKEN	c2-impl
AC38	w61	APPEND_ONLY_FAIL	EQ	0	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-append-only.txt	(none)	MISSING_TOKEN	c2-impl
AC40	w63	CORRECTION05_COMMIT_COUNT	EQ	5	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-required-result.txt	3	REAL_PREDICATE_FAIL	c4-close
AC40	w64	C0_C1_C2_C3_C4_ORDER	EQ	YES	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-required-result.txt	(none)	MISSING_TOKEN	c4-close
AC41	w65	WORKTREE_CLEAN_AFTER_C4	EQ	YES	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-required-result.txt	(none)	MISSING_TOKEN	c4-close
