AC_ID	STATUS	NOTES
AC01	PASS	ENTRY_HEAD=9ea5bc4a5919c5a37fc0be8f4f2a57dea7e41b94
AC02	PASS	BRANCH=main
AC03	PASS	WORKTREE_CLEAN_AT_C0=YES (tracked)
AC04	PASS	C0_AUTH_BEFORE_REPAIR=YES
AC05	PASS	D1_F14_RED_REPRODUCED=YES
AC06	PASS	D2_RANGE_CHECK_RED_REPRODUCED=YES
AC07	PASS	D3_SIX_COMMIT_RED_REPRODUCED=YES
AC08	PASS	D4_POST_C4_MODEL_RED_REPRODUCED=YES
AC09	PASS	RESTORED_CORRECTION02_C2_BLOB_MATCH=YES
AC10	PASS	CORRECTION02_CLOSED_EVIDENCE_DELTA=0
AC11	PASS	CORRECTION02_CLOSED_HANDOFF_DELTA=0
AC12	PASS	PROSPECTIVE_LEXER07_BASELINE_SHA256_UNCHANGED=YES
AC13	PASS	PRODUCER_SOURCE_SHA256_UNCHANGED=YES
AC14	PASS	PRODUCER_BINARY_SHA256_UNCHANGED=YES
AC15	PASS	ALL_4_COMPILER_SHA256_UNCHANGED=YES
AC16	PASS	INPUT_SHA256_UNCHANGED=YES
AC17	PASS	WRAPPER_SHA256_UNCHANGED=YES
AC18	PASS	COMMAND_SHA256_UNCHANGED=YES
AC19	PASS	OUTPUT_SHAS_UNCHANGED=YES
AC20	PASS	COUNTER_SHA256_UNCHANGED=YES
AC21	PASS	BOOTSTRAP_CALC_PADDING_DELTA=0
AC22	PASS	ALGEBRAIC_VERIFIER_DELTA=0
AC23	PASS	GENERATION_PROVENANCE_VERIFIER_DELTA=0
AC24	PASS	ORACLE_IMPL_DELTA=0
AC25	PASS	SRC_PARSER_DELTA=0
AC26	PASS	PATCH_HYGIENE_ERRORS_FOR_CORRECTION04=0 (1 restored historical defect intentional per Lock B; see R1)
AC27	PASS	GATE_FAST=PASS
AC28	PASS	APPEND_ONLY_FAIL=0
AC29	PASS	F14=PASS
AC30	PASS	C0_HAS_NO_SUPERSESSION_TRAILERS=YES
AC31	PASS	C1_HAS_NO_SUPERSESSION_TRAILERS=YES
AC32	PASS	C2_HAS_NO_SUPERSESSION_TRAILERS=YES
AC33	PASS	C3_HAS_NO_SUPERSESSION_TRAILERS=YES
AC34	PASS	C4_TRAILER_SCHEMA_FROZEN_FROM_LIVE_VALIDATOR=YES
AC35	PASS	PRE_C4_COMMIT_COUNT=4
AC36	COMMITTED	C4_IS_DIRECT_CHILD_OF_PRE_C4_TIP=YES (this C4 commit's parent is 7ec7360)
AC37	DEFERRED_TO_EXTERNAL	CORRECTION04_RANGE_COMMIT_COUNT=5 -- observed by external terminality gate
AC38	DEFERRED_TO_EXTERNAL	FACTORY_V2_RANGE_CHECK=PASS -- observed by external terminality gate
AC39	DEFERRED_TO_EXTERNAL	EXTERNAL_TERMINALITY_GATE=PASS -- observed by external terminality gate
AC40	DEFERRED_TO_EXTERNAL	WORKTREE_CLEAN_AFTER_C4=YES -- observed by external terminality gate
