defect_id	authorized_predicate	historical_expected	historical_observed	historical_evidence	corr04_disposition
D1	N02_BUILD_RC=0; N02_PRODUCTION_DIVERGENCE_DETECTED=YES	mutated link.o SHA non-empty, mutated seam binary links, mutated seam runs	mutated link.o SHA empty, make Error 1, no such file: lexer09-lexer-seam-stage1	evidence/.../CORRECTION03/c3/c3-n02-subject-mutation.txt	REPRODUCED_FAIL_AT_C03; CORRECTION04_N02_MUST_REEXECUTE
D2	GENERATION_COPY_CONTROL_EXECUTED=YES; GENERATION_COPY_DETECTED=YES	NC injected copy is rejected by verifier	G1/G3 raw SHAs differ only observed; no copy injected	evidence/.../CORRECTION03/c3/c3-nc-generation-copy.txt	REPRODUCED_FAIL_AT_C03; CORRECTION04_NC_MUST_INJECT_REAL_COPY
D3	SEMANTIC_PAIR_PASS=6 expected; observed SEMANTIC_PAIR_PASS=3 MIGRATION_DELTA=3	6 pairwise equalities hold across G0/G1/G2/G3	3 equalities among G1/G2/G3; 3 G0 migration deltas	evidence/.../CORRECTION03/c3/c3-production-seam-pairwise.txt	REPRODUCED_FAIL_AT_C03; CORRECTION04_AUTHORIZES_G1_EQ_G2_EQ_G3_PLUS_G0_L07_DELTA
D4	AC truth ledger required to verify evidence content, not just identity	verifier checks evidence establishes predicate	verifier checked only ac_id + predicate_sha256 join	tools/quality/lexer09-ac-ledger-verify.HC	REPRODUCED_FAIL_AT_C03; CORRECTION04_INTRODUCES_WITNESS_LAYER
D5	git diff --check ENTRY_HEAD..HEAD = clean	git diff --check reports 0 errors	git diff --check reports trailing whitespace on c3-n02-subject-mutation.txt	git diff --check 4814bf1..c54d82e	REPRODUCED_FAIL_AT_C03; CORRECTION03_REMAINS_FALSE_GREEN_PER_AC35
D6	EXACT_TOPOLOGY commit count = 5 at final HEAD	git rev-list --count = 5	git rev-list --count 4814bf1..HEAD = 6	git rev-list --count 4814bf1..0d26e41	REPRODUCED_FAIL_AT_C03; CORRECTION04_HAS_OWN_CLEAN_TOPOLOGY
D7	POST_C4_COMMIT_COUNT=0	no commit after the first C4	operator added one commit (0d26e41) after C4	c54d82e..0d26e41 = 1 commit	REPRODUCED_FAIL_AT_C03; CORRECTION04_HAS_NO_POST_C4
D8	CORRECTION03 ACT body = full binding contract	ACT body contains full §0..§81 contract	ACT body is a synopsis referring to prompt/commit	body inspection	REPRODUCED_FAIL_AT_C03; CORRECTION04_ACT_IS_FULL_BODY
D9	CORRECTION03 C3 authority-flow describes post-C2 production-authority	state-of-the-art evidence reports POLYC_OUTPUTS_CONSUMED_BY_PRODUCTION=YES	authority-flow still describes pre-C2 shadow-verifier	c3-authority-flow.tsv inspection	REPRODUCED_FAIL_AT_C03; CORRECTION04_AUTHORITY_FLOW_IS_FRESH_RECON
D10	LEXER0X conservation evidence = captured command/verifier output	LEXER01/02/03 conservation files contain canonical command outputs	several conservation files contain narrative assertions only	c3-lexer*-conservation.txt inspection	REPRODUCED_FAIL_AT_C03; CORRECTION04_RUNS_CANONICAL_COMMANDS

CORRECTION03_FALSE_GREEN_REPRODUCED=YES
