file	conflict_block_line	resolution	source_of_truth	rationale
src/asm/enc_x86_64.h	95-117	KEEP_LOCAL (PARITY01 encoders)	HEAD	PARITY01 IMPL (4102adc) introduces andb/orb/setcc_cl/testb_al; remote pre-dates PARITY01
src/asm/enc_x86_64.c	405-454	KEEP_LOCAL (PARITY01 encoders)	HEAD	PARITY01 IMPL (4102adc); remote pre-dates PARITY01
src/x86_64-jit.c	421-433	KEEP_LOCAL (PF-aware float semantics)	HEAD	PARITY01 IMPL (4102adc); remote has stale "loose-ordered" prose
src/x86_64-jit.c	475-510	KEEP_LOCAL (jitEmitFloatSetCC)	HEAD	PARITY01 IMPL (4102adc) adds the function
src/x86_64-jit.c	1228-1235	KEEP_LOCAL (IR_FCMP dispatch)	HEAD	PARITY01 IMPL (4102adc) routes IR_FCMP through jitEmitFloatSetCC
src/x86_64-jit.c	1262-1309	KEEP_LOCAL (IR_CMP_BR float PF-aware branching)	HEAD	PARITY01 IMPL (4102adc)
src/x86_64.c	665-685	KEEP_LOCAL (PF-aware float comment)	HEAD	PARITY01 IMPL (4102adc) updates the cc-table preamble
src/x86_64.c	753-823	KEEP_LOCAL (x86_64EmitFloatSetCC)	HEAD	PARITY01 IMPL (4102adc) adds the function
src/x86_64.c	1790-1797	KEEP_LOCAL (IR_FCMP dispatch)	HEAD	PARITY01 IMPL (4102adc)
src/x86_64.c	2058-2108	KEEP_LOCAL (IR_CMP_BR float PF-aware branching)	HEAD	PARITY01 IMPL (4102adc)
docs/ROADMAP.md	227-244	KEEP_LOCAL (P3.7 PARITY01 + P3.8 INTOPS01)	HEAD	PARITY01 CLOSE (590f37b) + INTOPS01 addendum (adb202c)
docs/ROADMAP.md	442	KEEP_LOCAL (renumbered P7 ORC (deferred))	HEAD	Self-hosting pivot (62d5128) renumbered future roadmap entries
docs/ROADMAP.md	463	KEEP_LOCAL (renumbered P8 Persistent compiler session)	HEAD	Self-hosting pivot
docs/ROADMAP.md	476	KEEP_LOCAL (renumbered P9 Agent protocol)	HEAD	Self-hosting pivot
