check	result	evidence
AUTHORIZED_AC01_32_SNAPSHOTTED	YES	c1-authorized-ac-snapshot.tsv (32 rows; sha256 0f99d85234...)
4_STAGE_PRODUCTION_SEAM_NOT_PROVEN	YES	c1-red-4stage-seam-missing.txt (LEXER04_4_STAGE_PRODUCTION_SEAM=NOT_PROVEN)
CURRENT_C_VERIFIER_AUTHORITY_STATUS	KNOWN (C; REGRESSION)	c1-red-tool-authority.txt
CURRENT_POLYC_VERIFIER_BUILDABILITY	KNOWN (lexer07-sha256.HC + lexer07-objects-byte-equal.HC exist and buildable)	c1-red-tool-authority.txt
COMPILER_G0_G1_G2_G3_IDENTITIES_BOUND	YES	c1-generation-identities.tsv (4 paths, 4 distinct SHAs)
FIXTURE_CORPUS_FROZEN	YES (10 production-seam + 23 differential)	c1-fixture-inventory.tsv
SEMANTIC_SCHEMA_FROZEN	YES	c1-semantic-schema.tsv
LIBTOS_SUBSTRATE	PASS	make lib-tos at C1 entry
EXISTING_ENGINEERING_GREEN	YES (6/6)	c1-baseline-engineering.txt
RECIPE_REGRESSIONS_FOUND	2 (R1 seam filter, R2 oracle main)	c1-red-seam-recipe.txt
