ac_id	predicate	status	evidence	observed_value
AC01	BRANCH=main	PASS	c3-entry-identity.txt	main
AC02	WORKTREE_CLEAN_AT_C0=YES	PASS	c0-entry-identity.txt	clean of pre-existing tracked changes
AC03	C0_AUTH_BEFORE_WORK=YES	PASS	c0-required-result.txt	ACT document + entry evidence created before any C1+ work
AC04	ENTRY_HEAD_RECORDED=YES	PASS	c0-entry-identity.txt	1274f368c5d2d86e84d67141315f8c02fb4c1426
AC05	PREDECESSOR_C4_SHA_VERIFIED=YES	PASS	c1-c3-identity-recon.txt	1274f368c5d2d86e84d67141315f8c02fb4c1426
AC06	CLOSED_PREDECESSOR_EVIDENCE_DELTA=0	PASS	c3-f14.txt	all four predecessor hash tokens unchanged at C3
AC07	CLOSED_PREDECESSOR_HANDOFF_DELTA=0	PASS	c3-f14.txt	HANDOFF blob SHAs unchanged at C3
AC08	BOOTSTRAP_CALC_PADDING_DELTA=0	PASS	c3-factory-gates.txt	tools/bootstrap/selfhost-parser-padding.HC sha256 entry==c3
AC09	CALC_PADDING_BODY_DELTA=0	PASS	c3-factory-gates.txt	src/parser.c sha256 entry==c3
AC10	PARSER_PADDING_PRODUCTION_AUTHORITY=LEGACY_C	PASS	c3-required-result.txt	LEGACY_C
AC11	PARSER_PADDING_PRODUCTION_DELEGATION=NOT_PERFORMED	PASS	c3-required-result.txt	NOT_PERFORMED
AC12	HISTORICAL_BASELINE_REFERENCES_INVENTORIED=YES	PASS	c1-baseline-reference-search.txt	all references enumerated
AC13	HISTORICAL_BASELINE_INPUTS_CLASSIFIED=YES	PASS	c1-baseline-provenance.tsv	9 fields classified (KNOWN/UNKNOWN/NOT_REQUIRED)
AC14	RECONSTRUCTIBILITY_DECISION_SINGLE_VALUED=YES	PASS	c1-reconstructibility-decision.txt	HISTORICAL_BASELINE_RECONSTRUCTIBLE=NO (single value)
AC15	C1_BRANCH_FROZEN=YES	PASS	c1-reconstructibility-decision.txt	ACTIVE_BRANCH=B (frozen)
AC16	CANONICAL_C3_SHA_FROM_C4_PARENT=YES	PASS	c3-c3-identity-resolution.txt	9c1edc90b34a3462e83fbb6706ba46747667a55a (= 1274f36^)
AC17	C3_IDENTITY_DRIFT_DISPOSITION_RECORDED=YES	PASS	c3-c3-identity-resolution.txt	disposition recorded, canonical source = GIT_PARENT_EDGE, historical = STALE_IMMUTABLE_RECORD
AC18	NO_HISTORICAL_ARTIFACT_EDIT_FOR_IDENTITY=YES	PASS	c3-c3-identity-resolution.txt	no edits to predecessor HANDOFF or closed evidence
AC19A	HISTORICAL_BASELINE_RECONSTRUCTED=YES	N/A	(active branch = B)	not applicable
AC20A	BASELINE_A_B_EQUAL=YES	N/A	(active branch = B)	not applicable
AC21A	BASELINE_MUTATION_DETECTED=YES	N/A	(active branch = B)	not applicable
