ac_id	witness_id	evidence_path	witness_kind	key	operator	expected_value	mandatory
AC01	w01	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c0/c0-entry-identity.txt	KV	C0_AUTH_BEFORE_WORK	EQ	YES	YES
AC01	w02	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c0/c0-entry-identity.txt	KV	WORKTREE_CLEAN_AT_C0	EQ	YES	YES
AC02	w03	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c0/c0-authorization-integrity.txt	KV	ACT_BODY_COMPLETE	EQ	YES	YES
AC02	w04	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c0/c0-authorization-integrity.txt	KV	ACT_BODY_PLACEHOLDER_SECTIONS	EQ	0	YES
AC03	w05	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c1/c1-correction04-defects.tsv	KV	CORRECTION04_HALT_REPRODUCED	EQ	YES	YES
AC03	w06	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c1/c1-correction04-defects.tsv	KV	CORRECTION04_CONFIRMED_FAIL_COUNT	EQ	4	YES
AC04	w07	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c1/c1-f14-reverify.txt	KV	CORRECTION04_AC35	EQ	PASS	YES
AC05	w08	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c1/c1-correction04-defects.tsv	KV	HISTORICAL_ADDENDUM_TOTAL_FAIL_RECORDED	EQ	5	YES
AC05	w09	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c1/c1-correction04-defects.tsv	KV	MECHANICAL_CORRECTION04_FAIL_COUNT	EQ	4	YES
AC06	w10	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-production-source-delta.txt	KV	PRODUCTION_SOURCE_DELTA	EQ	0	YES
AC07	w11	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-production-authority.txt	KV	PRODUCTION_AUTHORITY_VERIFY	EQ	PASS	YES
AC08	w12	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-direct-differential.txt	KV	DIRECT_DIFFERENTIAL_FAIL	EQ	0	YES
AC09	w13	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-component-fixedpoint.txt	KV	COMPONENT_PAIR_PASS	EQ	6	YES
AC09	w14	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-component-fixedpoint.txt	KV	COMPONENT_PAIR_FAIL	EQ	0	YES
AC10	w15	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-postmigration.txt	KV	POST_MIGRATION_PAIR_PASS	EQ	3	YES
AC10	w16	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-postmigration.txt	KV	POST_MIGRATION_PAIR_FAIL	EQ	0	YES
AC11	w17	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-postmigration.txt	KV	EXPECTED_MIGRATION_FIXTURE_SET	EQ	L07	YES
AC11	w18	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-postmigration.txt	KV	OBSERVED_MIGRATION_FIXTURE_SET	EQ	L07	YES
AC12	w19	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-fixture-id-map-verify.txt	KV	UNKNOWN_FIXTURE_ALIAS	EQ	0	YES
AC12	w20	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-fixture-id-map-verify.txt	KV	DUPLICATE_CANONICAL_ID	EQ	0	YES
AC13	w21	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-fixture-alias-control.txt	KV	FIXTURE_ALIAS_CONTROL_REJECTED	EQ	YES	YES
AC14	w22	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-g0-delta.txt	KV	NON_MIGRATION_G0_DIVERGENCE_COUNT	EQ	0	YES
AC14	w23	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-g0-delta.txt	KV	G0_UNEXPECTED_MIGRATION_PAIR_COUNT	EQ	0	YES
AC15	w24	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-per-fixture.tsv	KV	L07_G0	EQ	lib-complex_1co	YES
AC15	w25	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-per-fixture.tsv	KV	L07_G1	EQ	lib-complex_1.0	YES
AC15	w26	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-per-fixture.tsv	KV	L07_G2	EQ	lib-complex_1.0	YES
AC15	w27	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-per-fixture.tsv	KV	L07_G3	EQ	lib-complex_1.0	YES
AC16	w28	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n01-output-mutation.txt	KV	SEMANTIC_OUTPUT_MUTATION_DETECTED	EQ	YES	YES
AC17	w29	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-shell-authority.txt	KV	N02_ORCHESTRATION_AUTHORITY	EQ	POLYC	YES
AC17	w30	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-shell-authority.txt	KV	N02_SHELL_DISPATCH_ONLY	EQ	YES	YES
AC17	w31	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-shell-authority.txt	KV	N02_SHELL_LOC_LE_50	EQ	YES	YES
AC18	w32	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	KV	MUTATED_COMPONENT_BUILD_RC	EQ	0	YES
AC18	w33	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	KV	MUTATED_SEAM_LINK_RC	EQ	0	YES
AC18	w34	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	KV	MUTATED_SEAM_RUN_RC	EQ	0	YES
AC19	w35	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	KV	MUTATED_COMPONENT_SHA_NONEMPTY	EQ	YES	YES
AC19	w36	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	KV	MUTATED_COMPONENT_SHA_DIFFERS	EQ	YES	YES
AC19	w37	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	KV	MUTATED_SEAM_SHA_NONEMPTY	EQ	YES	YES
AC20	w38	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	KV	MUTATED_PRODUCTION_DIVERGENCE_DETECTED	EQ	YES	YES
AC20	w39	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	KV	UNEXPECTED_MUTATION_DIVERGENCE_COUNT	EQ	0	YES
AC21	w40	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-incomplete-witness.txt	KV	N02_INCOMPLETE_WITNESS_REJECTED	EQ	YES	YES
