ACT_ID	ACT-POLYC-SELFHOST-PARSER-SLICE-RECON01
ACT_Phase	C2-RANK-SELECT
evidence_kind	selected-proof-model
target	CAND-002 CalcPadding
next_act_id	ACT-POLYC-SELFHOST-PARSER-PADDING01

proof_class	classification	notes
DIRECT_DIFFERENTIAL	REQUIRED	The PolyC BootstrapCalcPadding and the C CalcPadding are run side-by-side on a corpus of (offset, size) pairs; any divergence flips rc.
PRODUCTION_SEAM	NOT_APPLICABLE_WITH_REASON	Production delegation (parseClassOffsets / parseUnionOffsets routing to the PolyC component) is reserved for the next-next ACT; this ACT only ADDS the PolyC component and the differential oracle.
COMPONENT_OBJECT_FIXEDPOINT	REQUIRED	tools/bootstrap/selfhost-parser-padding.HC compiles and links as a standalone translation unit; a tiny HC driver loops over the corpus and exits 0.
GENERATION_PROVENANCE	REQUIRED	The PolyC source is committed in tools/bootstrap/ (not generated at build time); the build artifact is reproducible from source + toolchain.
CAUSAL_NEGATIVE_CONTROL	REQUIRED	A stub mutation harness applies each of Class A-D (per c2-selected-red-contract.txt) to the PolyC component and confirms the oracle flags it.
BROAD_CORPUS	NOT_APPLICABLE_WITH_REASON	CalcPadding is a 2-input primitive; a finite, mechanically-generated corpus of (offset, size) pairs covering the partition is the equivalent of "broad corpus" for this subject.
LEXER_CONSERVATION	REQUIRED	LEXER01..04 fixtures must continue to PASS unchanged; this ACT does not touch any lexer source.
PARSER_CONSERVATION	REQUIRED	parseClassOffsets / parseUnionOffsets output must be byte-identical before and after the ACT (production change is zero).
PATCH_HYGIENE	REQUIRED	git diff --check on the closure range must be clean.
F_POLYC_TOOLS	REQUIRED	The terminal-verdict tooling (oracle) is implemented in PolyC (HC); shell wrappers <=50 LOC dispatch only.
F_NO_PYTHON	REQUIRED	No Python sources, no Python invocations, no Python fallback.
F14	REQUIRED	No modification of any closed evidence or HANDOFF (LEXER01..04, SURFACE-RECON03, PARSER01, PARSER01-CORRECTION01).

PROOF_MODEL_UNKNOWN=0
NEXT_PROOF_MODEL_COMPLETE=YES
