prev_ac_id	exact_historical_predicate	historical_state_at_entry	corr03_disposition	corr03_replacement_ac	reason
PREV-AC01	WORKTREE_CLEAN_AT_ENTRY=YES	true	PRESERVED_EXACT	AC01 C0_AUTH_BEFORE_WORK=YES	same predicate
PREV-AC02	SURFACE_RECON02=PASS_TRUE_GREEN; SELECTED_ATOMIC_SLICE=lexLink/#link	true	PRESERVED_EXACT	AC04 PRODUCTION_AUTHORITY_RED=CONFIRMED	same slice
PREV-AC03	LEXER04_RED_REPRODUCED=YES	true	PRESERVED_EXACT	AC04 PRODUCTION_AUTHORITY_RED=CONFIRMED	shadow path proven
PREV-AC04	SLICE_LEVERAGE_PROVEN=YES	true	PRESERVED_EXACT	AC09 DIRECT_DIFFERENTIAL_FAIL=0	slice leverage holds
PREV-AC05	UNKNOWN_STATE_EFFECTS=0	true	PRESERVED_EXACT	AC23 SHA256_SELFTEST_FAIL=0	deterministic
PREV-AC06	FIXTURE_TOTAL=<frozen>; FIXTURE_CLASS_TOTAL=<frozen>	true	PRESERVED_EXACT	AC21 FIXTURE_DIVERGENCE_COUNT=0	frozen
PREV-AC07	LEXCORE_MUTATION=0; FORBIDDEN_SUBSYSTEM_DELTA=0	true	PRESERVED_EXACT	AC31 F14 CLOSED_EVIDENCE_DELTA=0	same
PREV-AC08	selfhost-lexer-link.HC=EXISTS	true	PRESERVED_EXACT	AC10 COMPONENT_PAIR_PASS=6	component exists
PREV-AC09	POLYC_PRODUCTION_DELEGATION_PRESENT=YES	partially-true (component called but outputs not consumed)	SUPERSEDED_PROSPECTIVELY	AC07 POLYC_OUTPUTS_CONSUMED_BY_PRODUCTION=YES	delegation must be load-bearing
PREV-AC10	LEXER09_DIRECT_DIFFERENTIAL_FAIL=0	true	PRESERVED_EXACT	AC09 DIRECT_DIFFERENTIAL_FAIL=0	23/23 holds
PREV-AC11	LEXER09_PRODUCTION_SEAM=PASS	true (only G0/G1; G2/G3 were copies)	SUPERSEDED_PROSPECTIVELY	AC15-AC18 G0..G3_EXEC_RC=0	must be 4 independent
PREV-AC12	LEXER09_4_STAGE_SEMANTIC_SEAM=PASS	FALSE (G2/G3 identical to G1)	SUPERSEDED_PROSPECTIVELY	AC20 SEMANTIC_PAIR_PASS=6	real 4-stage seam
PREV-AC13-AC16	G0..G3_COMPONENT_COMPILE=PASS	true	PRESERVED_EXACT	AC10 COMPONENT_PAIR_PASS=6	component builds hold
PREV-AC17	LEXER09_COMPONENT_OBJECT_FIXED_POINT=PASS	true	PRESERVED_EXACT	AC10 COMPONENT_PAIR_PASS=6	6/6 holds
PREV-AC18	PROVENANCE_ROWS=4	partially-true (only metadata)	SUPERSEDED_PROSPECTIVELY	AC32 c3-stage-provenance.tsv with execution binding	real provenance
PREV-AC19	G3_REPEAT_BYTE_EQUAL=YES	true	PRESERVED_EXACT	AC20 SEMANTIC_PAIR_PASS=6	deterministic
PREV-AC20	LEXER09_NEGATIVE_CONTROL=PASS	mis-classified (output divergence was the missing artifact)	SUPERSEDED_PROSPECTIVELY	AC13 MUTATED_SUBJECT_DIVERGENCE_DETECTED=YES	N02 now load-bearing
PREV-AC21	47/47 LEXER01 PASS	true	PRESERVED_EXACT	AC25 LEXER01_CONSERVATION=PASS	holds
PREV-AC22	89/89 LEXER02 PASS	true (after R2 fix)	PRESERVED_EXACT	AC26 LEXER02_DIRECT_CONSERVATION	PASS holds
PREV-AC23	45/45 LEXER03 PASS	true	PRESERVED_EXACT	AC27 LEXER03_CONSERVATION=PASS	holds
PREV-AC24	BROAD_CORPUS_CONSERVATION=PASS	FALSE (lexer07 REGRESSION=6)	HISTORICAL_FALSE	AC28 baseline/delta contract	see §42
PREV-AC25	NEW_PYTHON_SOURCES=0	true	PRESERVED_EXACT	AC30 NEW_PYTHON_SOURCES=0	holds
PREV-AC26	NEW_SUBSTANTIVE_NON_POLYC_TOOLS=0	true	PRESERVED_EXACT	AC29 NEW_SUBSTANTIVE_NON_POLYC_TOOLS=0	holds
PREV-AC27	gate-fast=PASS	true	PRESERVED_EXACT	AC34 gate-fast=PASS	holds
PREV-AC28	CLOSED_PREDECESSOR_EVIDENCE_DELTA=0	true	PRESERVED_EXACT	AC31 F14 CLOSED_EVIDENCE_DELTA=0	holds
PREV-AC29	git diff --check=clean	true (at C2)	PRESERVED_EXACT	AC35 patch hygiene	holds
PREV-AC30	WORKTREE_CLEAN_AT_CLOSE=YES	true	PRESERVED_EXACT	AC37 WORKTREE_CLEAN_AFTER_C4=YES	holds
PREV-AC31	APPEND_ONLY_HISTORY=TRUE	true	PRESERVED_EXACT	AC34 factory-append-only-test=PASS	holds
PREV-AC32	C4_C3_EVIDENCE_DELTA=0	FALSE (whitespace cleanup commit)	SUPERSEDED_PROSPECTIVELY	AC36 CORRECTION03_COMMIT_COUNT=5	stricter rule applied
