surface_id	semantic_responsibility	LOC	callers	dependencies	shared_mutable_state	fixture_coverage	real_lexer_coverage	corpus_reach	stage_reach	migration_risk
SURF-06	lexString / TK_STR scan with escapes + arena allocation	107	lexCore '"' case (per token)	lexerAllocateBuffer (Arena), lexerReAllocBuffer, lexRaise, lexNextChar, toupper, lexPeek, lexPeekMatch	l->ptr, l->lineno, l->line_start_ptr, l->cur_str, l->cur_strlen, l->flags, lexeme_arena	hcc test corpus (27 string-bearing files)	broad corpus 175/181 touch strings; 9 historical S0 fallbacks; 6 BOTH_FAIL_4	181 broad corpus files; every C src + holyc-lib HC	tests at stage0/1/2/3	HIGH: E5 ABI violation per recon (Arena*-allocated char*); would require caller-provided buffer redesign
SURF-10	lexSkipCodeComment / TK_COMMENT scan (// and /*..*/)	31	lexCore '/' case (per token)	lexNextChar (SURF-01)	l->ptr, l->lineno, l->line_start_ptr	hcc test corpus (every file uses // comments)	broad corpus 175/181 contains comments; corpus-fixture set touches comments	181 broad corpus files; every C src + holyc-lib HC	tests at stage0/1/2/3	LOW: pure cursor walk; no allocation; ABI-clean (4 in / 2-3 out)
SURF-11	lexCore whitespace dispatch ('\r' '\n' '\t' ' ')	15	lexCore main loop (per byte)	lexemeAssignOp (SURF-26)	l->ptr, l->lineno, l->line_start_ptr, l->flags (CCF_ACCEPT_*)	hcc test corpus (every file has whitespace)	broad corpus 175/181 contains whitespace; corpus-fixture set touches whitespace	181 broad corpus files; every C src + holyc-lib HC	tests at stage0/1/2/3	LOW: pure dispatch + cursor advance; ABI-clean (4 in / 2-3 out)
SURF-12	lexCore '.' dispatch (.digit fallthrough + .. / ...)	9	lexCore '.' case (rare)	lexNumeric (delegated), lexClassifyOperator (delegated), lexPeekMatch	l->ptr, l->flags	broad corpus (a few files use 0.5 and ...)	broad corpus contains decimals and ... occurrences	most files use '.x' or '...' occasionally	tests at stage0/1/2/3	LOW-MED: tiny but delegates to other components; composite surface
SURF-13	lexCore '#' dispatch (preprocessor entry)	23	lexCore '#' case (per directive)	lexPreProcDirective (SURF-16)	l->ptr, l->symbol_table (Map*)	broad corpus (every file uses #include)	broad corpus 175/181 has preprocessor directives	every C src + holyc-lib HC include/test files	tests at stage0/1/2/3	MED-HIGH: orchestration + Map*; not a single bounded responsibility on its own
SURF-16	lexPreProcDirective	23	lexCore '#' case (delegated)	lex, lexRaise, mapGetLen, snprintf	l->ptr, l->symbol_table (Map*)	broad corpus (every file uses #include)	broad corpus 175/181 has preprocessor directives	every C src + holyc-lib HC include/test files	tests at stage0/1/2/3	MED: uses Map* symbol_table; requires ABI to expose symbol_table to PolyC
SURF-17	lexInclude	48	lexPreProcIf via lex()	lex (multiple calls), lexPushFile, aoStr* helpers	l->files, l->seen_files, l->all_source, l->cur_file, l->builtin_root	broad corpus (every file uses #include)	broad corpus 175/181 has #include	every C src + holyc-lib HC include/test files	tests at stage0/1/2/3	HIGH: orchestrates lex + multiple state mutations + file push
SURF-19	lexDefine	116	lexPreProcIf via lex()	lex (multiple calls), AoStr*, Map* macro_defs	Map* macro_defs (write), l->ptr, l->lineno	preprocessor corpus	broad corpus 175/181 may have #define	a few files (mostly header files)	tests at stage0/1/2/3	HIGH: heavily stateful + macro body capture
SURF-21	lexPreProcIf	136	lex (parser-driver recursion)	lexPreProcBoolean (SURF-22), lex (recursive), Map* macro_defs	Map* macro_defs, l->skip_else, l->ptr, l->lineno	preprocessor corpus	broad corpus may have #if	several files (conditional compilation)	tests at stage0/1/2/3	HIGH: 136 LOC; recursion; Map* macro_defs mutation
SURF-22	lexPreProcBoolean	108	lexPreProcIf	lexToken (SURF-23), Map* macro_defs	Map* macro_defs, l->ptr, l->lineno	preprocessor corpus	broad corpus may have #if exprs	few files	tests at stage0/1/2/3	HIGH: 108 LOC; heavy recursion; expression evaluation
SURF-23	lexToken	105	parser.c / cctrl.c	lex (SURF-24), Map* macro_defs, lexPreProcIf	Map* macro_defs (read/write), l->ptr	preprocessor corpus	broad corpus 175/181 may use macros	files with #define tests	use sites at all stages	HIGH: 105 LOC; preprocessor orchestration
