ac_id	ac_description	evidence_file	verdict	notes
AC01	Worktree clean at C1 entry	c1/c1-entry-identity.txt	PASS	git status --porcelain=v1 empty at c6e56fd
AC02	G0..G3 compilers present	c1/c1-compiler-identities.tsv	PASS	all 4 compilers with bound SHA-256
AC03	Single immutable source blob	c1/c1-source-identity.txt	PASS	SOURCE_SHA_UNIQUE_COUNT=1; SHA=515c0e02..ad27559d6f
AC04	Canonical compile contract frozen	c1/c1-canonical-compile-contract.txt	PASS	CANONICAL_COMPILE_CONTRACT=FROZEN
AC05	G0 compile RC=0	c3/c3-compile-g0.txt	PASS	G0_COMPILE_RC=0
AC06	G1 compile RC=0	c3/c3-compile-g1.txt	PASS	G1_COMPILE_RC=0
AC07	G2 compile RC=0	c3/c3-compile-g2.txt	PASS	G2_COMPILE_RC=0
AC08	G3 compile RC=0	c3/c3-compile-g3.txt	PASS	G3_COMPILE_RC=0
AC09	Provenance rows valid	c3/c3-fixedpoint-provenance.tsv	PASS	PROVENANCE_ROWS=4; UNIQUE_GENERATIONS=4; SCHEMA valid (1 header + 4 data)
AC10	All object sizes equal	c3/c3-byte-equality.txt	PASS	OBJECT_SIZE_UNIQUE_COUNT=1 (all 3880 bytes)
AC11	LEXER03_TRIVIA_FIXED_POINT_4_GENERATIONS=PASS	c3/c3-byte-equality.txt	PASS	all 6 pairwise cmp YES; verifier reports PASS
AC12	OBJECT_SHA256_UNIQUE_COUNT=1	c3/c3-sha256-equality.txt	PASS	all 4 objects SHA=560e98bf..a55e7921f39c0
AC13	BootstrapScanTrivia in every object	c3/c3-symbols.txt	PASS	nm shows T _BootstrapScanTrivia in O0..O3 at offset 0x678
AC14	G3 repeat-byte-equal	c3/c3-g3-repeat-determinism.txt	PASS	G3A_G3B_CMP_RC=0; same SHA
AC15	NEGATIVE_CONTROL=PASS	c3/c3-negative-control.txt	PASS	pristine=0, mutated=1, pristine_again=0; BYTE_MISMATCH_DETECTED=YES
AC16	LEXER08_DIRECT_DIFFERENTIAL 45/45 PASS	c3/c3-lexer08-direct-differential.txt	PASS	DIRECT_DIFFERENTIAL_TOTAL=45 PASS=45 FAIL=0
AC17	LEXER08_PRODUCTION_SEAM_STAGE0_VS_STAGE1 PASS	c3/c3-lexer08-production-seam.txt	PASS	make lexer08-lexer-seam-stage1 -> LEXER08_PRODUCTION_SEAM_STAGE0_VS_STAGE1=PASS
AC18	LEXER01_CONSERVATION 47/47 PASS	c3/c3-lexer01-conservation.txt	PASS	make bootstrap06-direct-differential -> 47/47 PASS
AC19	LEXER02 conservation 89/89 + LEXER07 production seam 4 stages	c3/c3-lexer02-conservation.txt	PASS	make lexer07-direct-differential -> 89/89; lexer07-lexer-seam-all-stages -> 4/4
AC20	LEXER08_BROAD_CORPUS_4_STAGE PASS	c3/c3-four-generation-build-smoke.txt	PASS	make lexer08-broad-corpus-4-stage -> PASS
AC21	No semantic source mutation	c3/c3-patch-hygiene.txt	PASS	git diff src/ tools/bootstrap/selfhost-lexer-trivia.HC empty
AC22	NEW_PYTHON_SOURCES=0 + NEW_PYTHON_INVOCATIONS=0	c3/c3-factory-gates.txt	PASS	POLYC_TOOLS_TRACKED_PYTHON=12 (unchanged); this ACT adds 0 Python
AC23	NEW_SUBSTANTIVE_NON_POLYC_TOOLS=0	c3/c3-factory-gates.txt	PASS	only additions: Makefile rule, PolyC verifier, <=20 LOC shell launcher
AC24	gate-fast PASS + factory-append-only-test PASS	c3/c3-factory-gates.txt	PASS	gate-fast=VERDICT=PASS; append-only PASS=11 FAIL=0
AC25	git diff --check clean	c3/c3-patch-hygiene.txt	PASS	empty output
AC26	Worktree clean at CLOSE	c3/c3-required-result.txt	PASS	git status --porcelain=v1 empty (only evidence/c3/ pending add)
AC27	APPEND_ONLY_HISTORY=TRUE	c3/c3-factory-gates.txt	PASS	factory-append-only-test PASS=11 FAIL=0
