ac_id	description	verdict	evidence
AC01	ENTRY_HEAD matches C0	PASS	c3-entry-identity.txt
AC02	branch=main	PASS	git branch --show-current at C3
AC03	worktree clean at C0	PASS	c0-entry-identity.txt
AC04	predecessor external terminality PASS	PASS	c0-predecessor-binding.txt
AC05	BootstrapCalcPadding source unchanged	PASS	sha256sum matches C0 freeze (b555b76b...)
AC06	qualified invariant verifier unchanged	PASS	sha256sum matches C0 freeze (bb4c710e...)
AC07	qualified provenance verifier unchanged	PASS	sha256sum matches C0 freeze (06bb95d2...)
AC08	legacy production authority reproduced	PASS	c1-red-production-authority.txt (C1)
AC09	BootstrapCalcPadding not load-bearing before C2	PASS	c1-red-subject-not-load-bearing.txt (C1)
AC10	production delegation absent before C2	PASS	c1-red-delegation-absent.txt (C1)
AC11	all CalcPadding call sites classified	PASS	c1-call-sites.tsv (5/5)
AC12	call-site-class fixture coverage=100%	PASS	c1-production-fixture-contract.tsv + c3-call-site-coverage.tsv (5/5)
AC13	delegation design frozen before implementation	PASS	c1-delegation-design.txt (D-C)
AC14	default production padding path=PolyC	PASS	c3-production-authority.txt
AC15	legacy fallback on PolyC path=NO	PASS	c3-production-authority.txt
AC16	legacy semantic authority count=0	PASS	c3-production-authority.txt
AC17	parser-padding ABI remains scalar/pure	PASS	c2-source-identities.tsv (I64, I64 -> I64)
AC18	direct differential fail=0	PASS	c3-direct-differential.txt
AC19	algebraic invariant fail=0	PASS	c3-algebraic-conservation.txt
AC20	G0/G1/G2/G3 independently executed	PASS	c3-generation-provenance.tsv
AC21	production semantic pair pass=6	PASS	c3-production-semantic-verify.txt
AC22	production semantic pair fail=0	PASS	c3-production-semantic-verify.txt
AC23	migration delta=0	PASS	c3-production-semantic-verify.txt
AC24	unexecuted call-site classes=0	PASS	c3-call-site-coverage.tsv (5/5)
AC25	mutated component builds	PASS	c3-n01-production-causal-control.txt
AC26	mutated production binary links	PASS	c3-n01-production-causal-control.txt
AC27	mutated production binary runs	PASS	c3-n01-production-causal-control.txt
AC28	mutated production divergence detected	PASS	c3-n01-production-causal-control.txt
AC29	N01 complete causal chain=YES	PASS	c3-n01-production-causal-control.txt
AC30	incomplete N01 witness rejected	PASS	c3-n01-incomplete-witness-control.txt
AC31	pristine reverify=PASS	PASS	c3-pristine-reverify.txt
AC32	generation provenance rows=4	PASS	c3-generation-provenance.tsv
AC33	generation provenance fail=0	PASS	c3-generation-provenance.tsv
AC34	generation copy detected	PASS	c3-generation-copy-control.txt
AC35	parser-layout new failures=0	PASS	c3-parser-layout-conservation.txt
AC36	parser general new failures=0	PASS	c3-parser-conservation.txt
AC37	LEXER01=PASS	PASS	c3-lexer01-conservation.txt
AC38	LEXER02=PASS	PASS	c3-lexer02-conservation.txt
AC39	LEXER03=PASS	PASS	c3-lexer03-conservation.txt
AC40	LEXER04=PASS	PASS	c3-lexer04-conservation.txt
AC41	LEXER07 new failure identities=0	PASS	c3-lexer07-forward-baseline.txt
AC42	LEXER07 removed pass identities=0	PASS	c3-lexer07-forward-baseline.txt
AC43	LEXER07 new divergences=0	PASS	c3-lexer07-forward-baseline.txt
AC44	LEXER07 new pass mismatches=0	PASS	c3-lexer07-forward-baseline.txt
AC45	component fixedpoint pairs=6/6	PASS	c3-component-fixedpoint.txt
AC46	F-POLYC-TOOLS=PASS	PASS	c3-f-polyc-tools.txt
AC47	F-NO-PYTHON=PASS	PASS	c3-f-no-python.txt
AC48	F14=PASS	PASS	c3-f14.txt
AC49	patch hygiene errors=0	PASS	c3-patch-hygiene.txt
AC50	gate-fast=PASS	PASS	c3-factory-gates.txt
AC51	append-only fail=0	PASS	c3-factory-gates.txt
AC52	C2->C3 implementation drift=0	PASS	c3-phase-purity.txt
AC53	PRE_C4_ACT_COMMIT_COUNT=4	PASS	c3-entry-identity.txt
AC54	C4 is direct child of C3	DEFERRED_TO_C4	recorded at C4 commit
AC55	external range verifier reports exact 5-commit ACT	DEFERRED_TO_EXTERNAL	external observation after C4
AC56	worktree clean after candidate C4	DEFERRED_TO_EXTERNAL	external observation after C4
