path	baseline_loc	budget_loc	state	role	migration_priority	notes
scripts/quality/llvm-gep01-test.sh	232	0	MIGRATED	TEST	SKIP	migrated to PolyC harness by ACT-POLYC-TOOLING-MIGRATE-GEP01; budget=0 forever
scripts/quality/llvm-spike-test.sh	830	830	GRANDFATHERED	TEST	HIGH	scripts/quality track; migration candidate
scripts/quality/gate-push.sh	480	480	GRANDFATHERED	GATE	HIGH	scripts/quality track; migration candidate
scripts/quality/factory-v2-test.sh	465	465	GRANDFATHERED	FACTORY	HIGH	scripts/quality track; migration candidate
scripts/quality/native-x86-float-cmp-parity01-test.sh	438	438	GRANDFATHERED	TEST	HIGH	scripts/quality track; migration candidate
scripts/quality/llvm-memory01-test.sh	382	382	GRANDFATHERED	TEST	HIGH	scripts/quality track; migration candidate
scripts/quality/factory-append-only-test.sh	373	373	GRANDFATHERED	FACTORY	HIGH	scripts/quality track; migration candidate
scripts/quality/llvm-float01-test.sh	371	371	GRANDFATHERED	TEST	HIGH	scripts/quality track; migration candidate
scripts/quality/llvm-spike-contract-check.sh	362	362	GRANDFATHERED	OTHER	MEDIUM	scripts/quality track; migration candidate
evidence/factory-status-reconciliation/n1-n15/run.sh	352	352	GRANDFATHERED	EVIDENCE	SKIP	historical ACT evidence; immutable under F14
scripts/quality/factory-closure-status-check.sh	352	352	GRANDFATHERED	FACTORY	MEDIUM	scripts/quality track; migration candidate
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01-CORRECTION02/c4/red-p03-option-w-proof/validate.sh	345	345	GRANDFATHERED	EVIDENCE	SKIP	historical ACT evidence; immutable under F14
evidence/factory-status-reconciliation-correction02/n1-n19/run.sh	335	335	GRANDFATHERED	EVIDENCE	SKIP	historical ACT evidence; immutable under F14
evidence/factory-status-reconciliation-correction01/n1-n18/run.sh	330	330	GRANDFATHERED	EVIDENCE	SKIP	historical ACT evidence; immutable under F14
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01-CORRECTION02/c6.3/capture.sh	321	321	GRANDFATHERED	EVIDENCE	SKIP	historical ACT evidence; immutable under F14
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01-CORRECTION02/c6.2/capture.sh	276	276	GRANDFATHERED	EVIDENCE	SKIP	historical ACT evidence; immutable under F14
scripts/quality/gate-fast.sh	250	250	GRANDFATHERED	GATE	HIGH	scripts/quality track; migration candidate
scripts/quality/factory-v2-range-check.sh	249	249	GRANDFATHERED	FACTORY	MEDIUM	scripts/quality track; migration candidate
scripts/quality/llvm-byte-memory01-test.sh	235	235	GRANDFATHERED	TEST	HIGH	scripts/quality track; migration candidate
