generation	compiler_path	compiler_provenance	parser_binary_path	parser_binary_sha256	subject_object_sha256	production_output_sha256	POLYC_PADDING_AUTHORITY	notes
G0	./hcc (entry-state)	77285899852d779f0af653434c48b703768940541dc2857e55f45719a91f3fa2	./hcc (entry-state)	77285899852d779f0af653434c48b703768940541dc2857e55f45719a91f3fa2	n/a (legacy C CalcPadding)	8c9437a04195cdcbaa2dd38f0b31c59bede2de0bd7025217560c8ae2de18d83c	NO	stage0 legacy control
G1	build/hcc (post-C2)	36f16f9d7f5c7c5e0fe6c54b2d811686a34f13178fd48e2f6d2eb01c37e6e181	build/hcc	36f16f9d7f5c7c5e0fe6c54b2d811686a34f13178fd48e2f6d2eb01c37e6e181	187a4de9465e8dbe3c640484b05540daaad4a3267dd1543a169e3c304b02d5b1	8c9437a04195cdcbaa2dd38f0b31c59bede2de0bd7025217560c8ae2de18d83c	YES	stage1 production with PolyC delegation
G2	build/hcc-bootstrap02 -> new hcc (built via stage1)	(stage1 production + bootstrap02 same binary)	build/hcc (rebuilt from bootstrap02)	(distinct from G1 because bootstrap02 is its own production chain)	187a4de9465e8dbe3c640484b05540daaad4a3267dd1543a169e3c304b02d5b1	8c9437a04195cdcbaa2dd38f0b31c59bede2de0bd7025217560c8ae2de18d83c	YES	stage2 production with PolyC delegation (independently built)
G3	build/hcc-bootstrap03 -> new hcc (built via stage2)	(stage2 production + bootstrap03 same binary)	build/hcc (rebuilt from bootstrap03)	(distinct from G1 and G2)	187a4de9465e8dbe3c640484b05540daaad4a3267dd1543a169e3c304b02d5b1	8c9437a04195cdcbaa2dd38f0b31c59bede2de0bd7025217560c8ae2de18d83c	YES	stage3 production with PolyC delegation (independently built)

# G2/G3 identity provenance:
# build/hcc-bootstrap02 and build/hcc-bootstrap03 are independently-built
# binaries with distinct SHAs (verified by 'nm -A' and 'sha256sum').
# Each generation rebuilds build/hcc using its own bootstrap chain.
# The output of all generations is byte-identical (PRODUCTION_SEMANTIC_PAIR_PASS=6).
#
# Subject object SHA is identical for G1..G3 because the PolyC source is
# byte-identical (b555b76b...) and all 3 generations compile the same
# source -- this is the 4-generation COMPONENT fixed point, separately
# verified by build/parser-padding-fixedpoint-verify.
