surface_id	source_path	symbol	responsibility	implementation_language	runtime_reachable	stage0_reachable	stage1_reachable	stage2_reachable	stage3_reachable	current_authority	classification	evidence
SURF-01	src/lexer.c	lexNextChar	cursor advance; one byte forward; updates ptr/lineno/line_start_ptr	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	HOST_TOOLING_ONLY	read by every token-kind scan path; defined in C
SURF-02	src/lexer.c	lexRewindChar	cursor rewind (decrements ptr)	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	HOST_TOOLING_ONLY	unused at runtime per current call graph; defined in C
SURF-03	src/lexer.c	lexPeekMatch	cursor peek (look 1 byte ahead without advancing)	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	HOST_TOOLING_ONLY	called by lexCore/lexString/lexIdentifier
SURF-04	src/lexer.c	lexPeek	cursor peek (look 1 byte ahead without advancing)	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	HOST_TOOLING_ONLY	called by lexCore '.' path
SURF-05	src/lexer.c	lexIdentifier	identifier/keyword scanning	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	tools/bootstrap/bootstrap02-ident.HC::BootstrapScanIdent	POLYC_SELFHOSTED	ACT-POLYC-BOOTSTRAP02 closed; B1; ABI 1
SURF-06	src/lexer.c	lexString	string-literal scanning with escapes and arena allocation	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	calls lexerAllocateBuffer (arena); returns char*; R-J region in recon
SURF-07	src/lexer.c	lexCharConst	character-constant scanning	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	tools/bootstrap/selfhost-lexer-scalar-literal.HC::BootstrapScanScalarLiteral	POLYC_SELFHOSTED	ACT-POLYC-SELFHOST-LEXER02 closed; ABI 3 subkind
SURF-08	src/lexer.c	lexNumeric	numeric-literal scanning (decimal/hex/float)	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	tools/bootstrap/selfhost-lexer-scalar-literal.HC::BootstrapScanScalarLiteral	POLYC_SELFHOSTED	ACT-POLYC-SELFHOST-LEXER02 closed; ABI 3
SURF-09	src/lexer.c	countNumberLen	numeric-extent walker (number of bytes in numeric literal)	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	tools/bootstrap/selfhost-lexer-scalar-literal.HC (inlined inside)	POLYC_SELFHOSTED	ACT-POLYC-SELFHOST-LEXER02 closed; consumed via BootstrapScanScalarLiteral
SURF-10	src/lexer.c	lexSkipCodeComment	// and /*..*/ comment skip (consumes bytes; updates lineno)	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	R-G region in recon; 31 LOC; no allocation; cursor-only mutation
SURF-11	src/lexer.c	lexCore (whitespace cases)	inline dispatch for '\r' '\n' '\t' ' ' within lexCore switch	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	R-I region in recon; 15 LOC; cursor+lineno+line_start_ptr mutation only
SURF-12	src/lexer.c	lexCore ('.'+digits + '..' cases)	inline dispatch for '.' followed by digit or '..'	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	9 LOC; falls through to lexNumeric or lexClassifyOperator
SURF-13	src/lexer.c	lexCore ('#' dispatch)	preprocessor directive entry	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	src/lexer.c	NON_POLYC	delegates to lexPreProcDirective; not bounded on its own
SURF-14	src/lexer.c	lexClassifyOperator	operator/punctuation recognition	POLYC_VIA_INDIRECT	YES	YES	YES	YES	YES	tools/bootstrap/selfhost-lexer-operator-classify.HC::BootstrapClassifyOperator	POLYC_SELFHOSTED	ACT-POLYC-SELFHOST-LEXER01 closed; ABI 2
