shape	neutral_ir_opcode	source_width	destination_width	signedness	current_status	positive_fixture	negative_fixture	backend_path	b0_required	notes
I8 scalar parameter	N/A	N/A	N/A	N/A	SUPPORTED	red_i8_param.HC	N/A	llParamTypeSupported() accepts IR_TYPE_I8 for parameter admission (src/llvm-backend.c ~530).	YES	LLVM i8 function parameter.
U8 scalar parameter	N/A	N/A	N/A	N/A	SUPPORTED	red_u8_param.HC	N/A	same seam as I8; PolyC U8 maps to neutral IR_TYPE_I8.	YES	LLVM i8 function parameter.
byte pointer parameter	IR_TYPE_PTR (parameter)	N/A	N/A	N/A	SUPPORTED	red_byte_pointer_param.HC	N/A	llParamTypeSupported() accepts IR_TYPE_PTR; access width carried by dst->type at IR_LOAD_DEREF.	YES	LLVM opaque ptr.
direct byte load (load *p)	IR_LOAD_DEREF	I8	I8	N/A	SUPPORTED	red_byte_load.HC / red_byte_pointer_param.HC	N/A	llvm-backend.c SHAPE_DEPENDENT arm admits dst->type in {IR_TYPE_I64, IR_TYPE_I8}; emits LLVMBuildLoad2 of i8.	YES	Output is "load i8, ptr ...".
unsigned byte -> I64 promotion (U8 widening)	IR_ZEXT	I8	I64	unsigned	SUPPORTED	red_byte_to_i64.HC / red_u8_param.HC	N/A	Per src/llvm-backend-cap.c: IR_ZEXT SHAPE_DEPENDENT when src=I8 and dst=I64; emits LLVMBuildZExt of i8 to i64.	YES	LLVM "zext i8 %v to i64".
signed byte -> I64 promotion (I8 widening)	IR_SEXT	I8	I64	signed	SUPPORTED	red_i8_param.HC + runtime contract	N/A	Per src/llvm-backend-cap.c: IR_SEXT SHAPE_DEPENDENT when src=I8 and dst=I64; emits LLVMBuildSExt of i8 to i64.	YES	LLVM "sext i8 %v to i64".
I64 -> I8 truncation (narrowing)	IR_TRUNC	I64	I8	N/A	SUPPORTED	pos_b0_compare_digit.HC (ReadDigit returns U8 promoted to I64; per source contract)	N/A	SHAPE_DEPENDENT when src=I64 dst=I8 only; emits LLVMBuildTrunc of i64 to i8.	YES	for the read path; B0 stores output as I64 scalar via existing IR_STORE_DEREF I64.
unauthorized narrowing (I64 -> I16)	IR_TRUNC	I64	I16	N/A	REJECTED	N/A	red_i16_trunc_negative.HC	llvm-backend-cap.c: IR_TRUNC rejected unless src=I64 dst=I8; emits LLVM_BACKEND_UNSUPPORTED_CONVERSION.	NO	Negative control: preserve rejection.
byte comparison (i8 via widened i64)	IR_ICMP (eq/ne/lt/le/gt/ge)	I8 (widened)	I64	both	SUPPORTED	pos_byte_compare_simple.HC / pos_b0_compare_digit.HC	N/A	Already IR_TYPE_I64 after widening; existing signed/unsigned IR_ICMP arm applies.	YES	LLVM "icmp sgt/ule i64".
byte store (IR_STORE_DEREF byte shape)	IR_STORE_DEREF	I8	N/A	N/A	DEFERRED	N/A	N/A	Per src/llvm-backend-cap.c: IR_STORE_DEREF SHAPE_DEPENDENT only for r1 (value) of type IR_TYPE_I64; byte store remains deferred.	NO	BYTE_STORE_STATUS = DEFERRED_NOT_B0_BLOCKING (B0 first milestone writes output as I64 scalar via existing IR_STORE_DEREF I64).
GEP / indexing	IR_GEP / IR_LEA	N/A	N/A	N/A	REJECTED	N/A	N/A	Per src/llvm-backend-cap.c: IR_GEP REJECTED (LLVM_BACKEND_UNSUPPORTED_AGGREGATE); IR_LEA REJECTED (LLVM_BACKEND_UNSUPPORTED_POINTER). Owned by ACT-POLYC-LLVM-GEP01.	NO	Out of scope for B0 byte-at-current-address substrate.
ptrtoint / inttoptr	IR_PTRTOINT / IR_INTTOPTR	N/A	N/A	N/A	REJECTED	N/A	N/A	Per src/llvm-backend-cap.c: both REJECTED (LLVM_BACKEND_UNSUPPORTED_CONVERSION).	NO	Forbiden in frozen byte path.
bitcast	IR_BITCAST	N/A	N/A	N/A	REJECTED	N/A	N/A	Per src/llvm-backend-cap.c: REJECTED (LLVM_BACKEND_UNSUPPORTED_BITCAST).	NO	Out of scope for BYTE-MEMORY01-RESUME02.
multi-block mutable I64 result state (Option-W + mem2reg)	IR_STORE / IR_LOAD + LLVM mem2reg	I64	I64	N/A	SUPPORTED	pos_b0_compare_digit.HC (AccDigit) / local-mem2reg regression fixtures	N/A	Closed at LOCAL-MEM2REG01-CORRECTION02 (246be50a); entry alloca + original-site stores + original-site loads; LLVM mem2reg owns SSA/PHI.	YES	Inherited from LOCAL-MEM2REG closure; per-byte memory form only.
