AC_ID	DESCRIPTION	VERDICT	EVIDENCE
AC01	Direct differential 23/23 PASS	PASS	c3-direct-differential.txt
AC02	Oracle selftest 12/12 PASS	PASS	c3-entry-identity.txt (oracle binary built and tested)
AC03	ABI 5 symbol exists (BootstrapLinkDirective)	PASS	c2-link-abi.txt
AC04	Production seam stage0 == stage1 modulo BUILD_LABEL	PASS	c3-production-seam.txt
AC05	4-gen fixed point: G0=G1=G2=G3 byte-equal	PASS	c3-byte-equality.txt
AC06	4-gen determinism (G3 rebuild = G3)	PASS	c3-determinism.txt
AC07	Negative control (mutation detected)	PASS	c3-negative-control.txt
AC08	Stage seam (G3 transitively depends on G0..G2)	PASS	c3-stage-seam.txt
AC09	Closure evidence directory structure intact	PASS	(this file + siblings)
AC10	gate-fast PASS	PASS	c3-factory-gates.txt
AC11	factory-append-only-test PASS (NC1..NC11)	PASS	c3-factory-gates.txt
AC12	LEXER08 conservation (45/45 diff + seam + broad corpus)	PASS	c3-lexer08-conservation.txt
AC13	LEXER09 broad corpus 4-stage PASS	PASS	c3-broad-corpus.txt
AC14	Patch hygiene (F7): all changes trace to LEXER04 scope	PASS	c3-patch-hygiene.txt
AC15	c1-required-result.txt gates satisfied	PASS	c3-required-result.txt
AC16	SELF-HOST-COMPONENTS.tsv row 6 present (link_directive_scanner)	PASS	c2-source-identity.txt
AC17	bootstrap02/03/04 fail-closed linkage enforced via CMakeLists.txt	PASS	c2-link-abi.txt
AC18	No new Python introduced (F-NO-PYTHON)	PASS	c3-patch-hygiene.txt
AC19	PolyC verifier rewritten in C (test infra only)	PASS	c3-patch-hygiene.txt
AC20	PolyC subject unchanged from C2	PASS	c3-entry-identity.txt
AC21	subject_build_policy != 0 (FreshTreeFreshGeneration)	PASS	c3-entry-identity.txt
AC22	src/lexer.c::lexLink TK_STR legacy parity preserved	PASS	c3-production-seam.txt
AC23	src/lexer.c::lexLink angle-form delegation correct	PASS	c3-production-seam.txt
AC24	src/lexer.c::lexLink dedup/listAppend behavior preserved	PASS	c3-production-seam.txt
AC25	build/test-prefix/lib/libtos.a unaffected by LEXER04 changes	PASS	c3-patch-hygiene.txt
AC26	No production C source file outside src/lexer.c modified	PASS	c3-patch-hygiene.txt
AC27	No regression in LEXER02/LEXER03 components (conservation)	PASS	c3-lexer08-conservation.txt
AC28	C99 oracle mirrors lexLink byte-for-byte	PASS	c3-direct-differential.txt + c2-source-identity.txt
AC29	Fixed point SHA-256 matches across all 4 gens	PASS	c3-byte-equality.txt
AC30	Subject source path: tools/bootstrap/selfhost-lexer-link.HC	PASS	c2-source-identity.txt
AC31	No new tools introduced beyond C1 boundary	PASS	c3-patch-hygiene.txt
AC32	All 23 fixtures across 9 classes frozen at C1	PASS	c1-link-fixtures.tsv
