side	sha	subject	paths	classification	rationale	preservation_witness
local	0778954	PARITY01 RED: x86_64 native FCMP NaN defect reproducer	src/tests/native-x86-float-cmp-parity01/	KEEP_LOCAL	Reviewer-accepted RED for PARITY01; foundational for native-x86 FCMP path. Already in local archive tip (HEAD = adb202c's descendant).	git rev-list HEAD..0778954 | head -5 ; ancestry proof
local	4102adc	PARITY01 IMPL: x86_64 SETcc encoder ModR/M + float-cmp composition	src/asm/enc_x86_64.c src/x86_64.c	KEEP_LOCAL	Reviewer-accepted IMPL; production fix for FCMP NaN. Already in local archive tip.	ancestry via HEAD
local	f8bb456	PARITY01 EVIDENCE: IR_FCMP witness + harness + ACT + HANDOFF + evidence	src/tests/native-x86-float-cmp-parity01/ scripts/quality/ docs/acts/ evidence/	KEEP_LOCAL	Reviewer-accepted EVIDENCE; adds IR_FCMP witness. Already in local archive tip.	ancestry via HEAD
local	be6a54a	PARITY01 EVIDENCE: refactor fixtures to TRUE/FALSE format for clarity	src/tests/native-x86-float-cmp-parity01/	KEEP_LOCAL	Reviewer-accepted EVIDENCE clarity fix. Already in local archive tip.	ancestry via HEAD
local	590f37b	PARITY01 CLOSE: PASS verdict (8/8 positive + 8/8 NC)	evidence/ docs/handoffs/ docs/acts/	KEEP_LOCAL	PARITY01 CLOSE; frozen at this commit. Already in local archive tip.	ancestry via HEAD
local	62d5128	ROADMAP: pivot critical path to self-hosting substrate	docs/ROADMAP.md	KEEP_LOCAL	Critical-path pivot establishes P4 self-hosting substrate as the next ACT path. Already in local archive tip.	ancestry via HEAD
local	28c778e	ROADMAP: tighten P3 transition wording (scalar + bounded I64 memory subset)	docs/ROADMAP.md	KEEP_LOCAL	Reviewer correction to the self-hosting pivot wording. Already in local archive tip.	ancestry via HEAD
local	adb202c	test(llvm): close INTOPS01 after B0-demand recon (HALT_RED_NOT_REPRODUCED)	evidence/llvm-intops01/ docs/acts/ docs/handoffs/	KEEP_LOCAL	INTOPS01 CLOSE-with-addendum; preserves append-only policy (F14); declares APPEND_ONLY_START_POINT=baf5dbd. Already in local archive tip.	ancestry via HEAD
local_merge	a589d42	Merge pull request #224 from Jamesbarford/feat/mem2reg	merge topology	MERGE_METADATA_ONLY	Tree-equal to remote fc01ffd; pure topology collision.	identical trees (a589d42^{tree} == fc01ffd^{tree})
local_merge	33e68a2	Merge pull request #223 from Jamesbarford/fix/hashtable	merge topology	MERGE_METADATA_ONLY	Tree-equal to remote 04fa184.	identical trees
local_merge	33b369d	Merge pull request #222 from Jamesbarford/feat/finish-ir	merge topology	MERGE_METADATA_ONLY	Tree-equal to remote 753344b.	identical trees
local_merge	060b957	Merge pull request #2 from Jamesbarford/fix/io-library	merge topology	MERGE_METADATA_ONLY	Tree-equal to remote 6afe5f5.	identical trees
local_merge	1539200	Merge pull request #1 from Jamesbarford/fixes/linux	merge topology	MERGE_METADATA_ONLY	Tree-equal to remote 283a176.	identical trees
remote_merge	fc01ffd	Merge pull request #224 from Jamesbarford/feat/mem2reg	merge topology	MERGE_METADATA_ONLY	Tree-equal to local a589d42; pure topology collision.	identical trees
remote_merge	04fa184	Merge pull request #223 from Jamesbarford/fix/hashtable	merge topology	MERGE_METADATA_ONLY	Tree-equal to local 33e68a2.	identical trees
remote_merge	753344b	Merge pull request #222 from Jamesbarford/feat/finish-ir	merge topology	MERGE_METADATA_ONLY	Tree-equal to local 33b369d.	identical trees
remote_merge	6afe5f5	Merge pull request #2 from Jamesbarford/fix/io-library	merge topology	MERGE_METADATA_ONLY	Tree-equal to local 060b957.	identical trees
remote_merge	283a176	Merge pull request #1 from Jamesbarford/fixes/linux	merge topology	MERGE_METADATA_ONLY	Tree-equal to local 1539200.	identical trees
