# ACT-POLYC-COMPILER-STATIC-FUNCTION-LINKAGE01-CORRECTION01 / c3 / c3-mandatory-ac-status.tsv
# AC ledger for the CORRECTION01 ACT.
# Format: <AC_ID><TAB><description><TAB><verdict>
AC01	predecessor ACT committed FALSE_GREEN at C4	PASS (FALSE_GREEN preserved per F14)
AC02	C0 AUTH committed with entry identity	PASS
AC03	C1 RED witness mechanically reproduced	RED_LEGACY_X86_GLOBAL_OVERRIDE
AC04	path inventory covers legacy x86 backend	PASS
AC05	backend inventory updated with legacy x86 row	PASS
AC06	C2 IMPL modifies src/x86.c only	PASS
AC07	C2 IMPL mirrors existing aarch64/x86_64 pattern	PASS
AC08	GREEN verified by nm -m on s09 fixture	PASS
AC09	GREEN verified by .S inspection on s09 fixture	PASS
AC10	test infrastructure extended for s09	PASS (script 44 -> 48 LOC)
AC11	gate-fast passes with C2 fix in place	PASS
AC12	static-function-linkage-test passes with s09 added	PASS
AC13	factory-append-only-test passes	PASS
AC14	no production code outside src/x86.c modified	PASS
AC15	HANDOFF PASS_TRUE_GREEN with all required sections	PASS
AC16	authorization artifact immutable (no Status section)	PASS
AC17	closure-status oracle frozen at predecessor state	PASS (PAIR_OK=7 unchanged)
AC18	closure-oracle limitation documented as residue	PASS
AC19	append-only history (no amend, no rebase)	PASS
AC20	worktree clean at C2 commit	PASS
