path	loc	sub	redir	ifc	forc	hd	hcc	hp	tf
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01-CORRECTION02/c3/capture-neutral-ir.sh	69	2	6	2	1	0	6	1	0
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01-CORRECTION02/c4/red-p03-option-w-proof/validate.sh	345	48	11	36	8	0	0	4	3
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01-CORRECTION02/c6.1/capture.sh	137	6	13	16	3	0	4	13	10
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01-CORRECTION02/c6.2/capture.sh	276	9	21	29	4	0	4	16	13
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01-CORRECTION02/c6.2/validate.sh	77	0	3	14	0	0	0	7	6
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01-CORRECTION02/c6.3/capture.sh	321	11	23	34	4	0	4	16	13
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01-CORRECTION02/c6.3/validate.sh	95	0	5	17	0	0	0	9	8
evidence/ACT-POLYC-LLVM-LOCAL-MEM2REG01/capi/run_capi_probes.sh	95	6	15	8	1	0	0	1	0
evidence/factory-status-reconciliation-correction01/n1-n18/run.sh	330	7	15	2	2	12	0	37	36
evidence/factory-status-reconciliation-correction02/closure-run.sh	64	13	4	0	0	0	0	1	0
evidence/factory-status-reconciliation-correction02/n1-n19/run.sh	335	5	30	2	2	4	0	47	46
evidence/factory-status-reconciliation-correction03/closure-run.sh	91	5	5	0	0	1	0	1	0
evidence/factory-status-reconciliation/n1-n15/run.sh	352	6	32	3	0	22	0	19	17
evidence/llvmspike01-resume01-correction01-resume01-correction02/identity.sh	119	10	11	10	0	0	0	1	0
packaging/install.sh	130	8	15	12	3	1	10	8	0
scripts/quality/factory-append-only-test.sh	373	41	37	8	1	0	4	4	1
scripts/quality/factory-closure-status-check.sh	352	40	12	23	5	0	0	2	5
scripts/quality/factory-halt-classification-check.sh	187	16	10	13	0	0	0	1	0
scripts/quality/factory-halt-classification-test.sh	182	6	2	4	0	0	0	1	1
scripts/quality/factory-v2-commit-msg-check.sh	218	20	8	19	0	0	0	1	0
scripts/quality/factory-v2-range-check.sh	249	33	37	24	5	0	0	1	3
scripts/quality/factory-v2-test.sh	465	31	16	16	0	3	1	1	2
scripts/quality/gate-fast.sh	250	12	9	21	4	0	0	1	0
scripts/quality/gate-push.sh	480	26	39	19	1	1	6	6	2
scripts/quality/harness-evidence-isolation-test.sh	123	15	14	11	2	0	5	3	4
scripts/quality/ir-return-slot-forwarding01-test.sh	171	17	10	20	1	0	10	2	1
scripts/quality/llvm-byte-memory01-test.sh	235	33	17	30	9	0	2	2	1
scripts/quality/llvm-float01-test.sh	371	50	47	33	0	0	6	2	1
scripts/quality/llvm-intops01-test.sh	230	26	14	29	1	0	3	2	3
scripts/quality/llvm-memory01-nc5-probe.sh	155	13	18	9	0	0	8	3	1
scripts/quality/llvm-memory01-red-test.sh	194	26	16	12	2	0	4	1	0
scripts/quality/llvm-memory01-test.sh	382	58	49	31	0	0	3	1	0
scripts/quality/llvm-spike-contract-check.sh	362	24	23	29	6	0	3	1	0
scripts/quality/llvm-spike-test.sh	830	92	93	56	2	0	24	3	3
scripts/quality/native-x86-float-cmp-parity01-test.sh	438	21	26	25	1	0	8	3	3
src/asm/test_jit_ir.sh	90	7	3	5	1	0	5	1	1
